"id";"view";"coord0";"coord1";"coord2";"coord3";"coord4";"coord5";"coord6";"coord7";"coord8";"coord9";"coord10";"coord11";"coord12";"coord13";"coord14";"coord15";"coord16";"coord17";"coord18";"coord19";"coord20";"coord21"
"EL75735";"D";-3.99316649701662;-13.6095628014298;-15.0647492612594;14.327261117674;1.45792210681278;9.04778834879186;9.0162522304069;3.12167577424193;-16.061307281052;-0.843359944602718;1.83608114633573;11.4288338198164;-16.500392148402;-1.36085494716931;4.14414181269894;-3.61222761443435;-3.12966125170853;-8.24240460892747;2.51107060666334;-1.987751507753;1.70511775424451;1.60595137920483
"EL75736";"D";-5.32940511334396;-12.2663860971247;-17.5103542029512;18.0203556579263;-0.301466099198035;7.87615281992703;9.14209192901322;-2.54054195160569;-12.6364956515292;0.856974858727664;4.97344180043833;12.308437321558;-16.2316566188519;-2.2276970902981;-4.43075058953044;-2.3900840600547;-6.08725096696058;-5.80805919900423;4.1042828726258;-1.98320270458545;5.21081687619354;3.65084444109702
"EL75507";"D";23.2846026590491;5.14323107144606;7.36289884007861;-9.43124854796042;8.80450630897155;-9.90753060667151;5.31195758634089;10.5210605076028;-1.76515063566499;8.6847085038556;-2.26751572074165;-1.99530295305551;3.39920425143669;-0.839435343870031;-1.10634740331011;1.3967360128998;-9.49156648507237;1.91722132425957;3.71107052165657;-3.21578493091665;6.73893133980256;-3.76672670637189
"EL75508";"D";23.2283746514515;-13.8372390263243;5.79767764892613;-11.8745311021328;3.72401469413696;-7.83558294305143;1.0547857567526;9.55649597879444;3.88718376551287;14.8375336276061;-4.15572015507273;-1.93260342991758;4.49509883451412;1.06881930879541;-1.51855369435858;-5.26236215261455;-3.73660895995194;6.1045204726993;0.631793964624916;-1.79350070772069;11.2878500236759;-3.54780778256707
"EL75509";"D";23.1439509576234;-13.0252732932213;0.723259505599585;-13.2309514058669;5.34574110399107;-9.5062255742671;1.06141367792188;8.91863204131044;3.06664082145137;16.5857779377539;-0.247009886385296;-1.61248472881314;7.17280417078472;3.48761863478505;-1.17820702750297;-3.20971205050912;-4.39912458521775;3.51914480008042;0.892063396525422;-1.45672756364315;11.5573340551603;-2.46747675625859
"EL75511";"D";23.2721515971316;-6.29104164994062;3.89889121075156;-12.2596750278001;7.51619481181108;-11.5045705238052;3.53248415833974;9.27375854258072;0.723666979911291;13.9570082743144;-0.53894532029718;-3.02027406137215;6.83378812176975;1.82708655120613;-0.049871693591213;-0.141323461051695;-8.82446355224451;2.86589098641836;1.88415675135425;-1.78246245012927;11.7714984163852;-2.92660441476404
"EL75512";"D";21.2717051759691;6.31849028809356;1.67786743141653;-11.881911613922;10.9578711884511;-14.4845027929697;4.70970140985955;8.45220886270669;-2.48889059783279;9.84684805227351;1.46075502848507;-2.61387077104053;5.81476471620405;1.30601550143617;-0.281593259263121;3.13605488673755;-9.26881124304493;0.778170096080935;2.90367687875943;-1.32275790554806;8.31033431460459;-3.43795549688731
"EL72488";"D";-5.60314161194749;-15.0544902313565;-8.49008840355428;6.04079290263916;16.7915288791138;4.28575045443892;15.0379828709166;1.58291184907001;-6.94521412339591;-4.98962965243024;-4.94816303753773;17.4258302411351;-14.9246672680426;10.1584384284804;14.4366148563967;-2.18289508973958;1.80974779053296;-1.04223251404327;-2.9474863858666;-4.80460512230003;2.03400977288102;-5.18156921087914
"EL72489";"D";-5.73926693455057;-13.5498777387024;-11.2625837879129;5.75913471663317;17.8699511006855;4.50545934286333;15.8167541236674;0.464149914977897;-8.95402260026876;-4.40844603113738;-5.78263575729876;13.9597462544818;-14.6358370932024;11.9912878001739;14.1469245434516;-0.594495679270439;2.52129173146071;-1.15512453152253;-1.63364629942237;-6.01164735714737;1.5048572953958;-5.5998486871116
"EL72490";"D";-4.40211279409266;-15.0568827743737;-11.1776637175452;6.91954428031061;15.0879984841815;5.24655259123476;15.8003837905876;0.695232595092461;-9.53501865139459;-4.03800005900556;-4.26416159401646;17.3463312370664;-14.6622450041299;9.88811505685742;13.3029208062228;-2.2557591919508;0.783025634535818;-3.75260791035024;-2.2537944463295;-4.45534558724368;1.42557594767561;-5.19858583920363
"EL72491";"D";-6.4100302811523;-13.8902065724729;-9.65687122139856;4.96799125992783;18.3931219156898;5.93886054098255;14.1925500591905;1.11117218382761;-8.56596099134531;-4.6387237060213;-6.71901613386613;13.0781172432443;-14.8275697495514;12.9900019015441;15.9417286958936;-0.348285476210906;3.37968725799054;0.267466237449722;-0.321316602349875;-6.82627573999298;1.64811264807382;-4.69621100648829
"EL72492";"D";-7.39554101851503;-13.1687656391954;-9.9760935831806;4.88800062489633;19.7631241899063;5.14513225771609;13.9168858966525;1.10325676345852;-7.14196002504529;-4.00770795693416;-6.67721507767037;12.0420541414589;-15.3966512618522;13.2036949168059;15.127632803795;0.554179722512894;3.8095578467976;2.04646606301849;0.774101983240981;-6.64358089901309;1.90257973231986;-4.30776737696003
"EL72507";"D";-14.3613170730134;-15.6312046619494;-1.57420495366244;5.16886821889917;27.5476703278945;-2.94472075598453;1.74741334863116;8.3632954310335;3.13360181415504;-5.93520529657312;-11.3947237471115;7.12231242127506;-6.76247297802083;8.77044532845193;7.15351708462143;2.34548616538954;0.863516315452104;5.38289130937724;3.20865048729767;-2.2483743053679;6.72941213273361;3.22676332859381
"EL72509";"D";-11.8134701012527;-15.9909634720451;-1.96049534918431;4.78177892544856;25.7517160935325;-0.67356683900871;5.38368419678137;6.24131550843414;-0.00532833791320506;-8.151886269094;-10.7520799296651;11.8555757581053;-8.1776488495833;10.8372654613875;12.3021525515201;0.689843519377914;2.0788997988552;4.18965095550038;-0.403279670553897;-3.87908882574113;7.36679332498243;0.191515005139896
"EL72511";"D";-11.0848343504145;-15.7113362146501;-3.50128258149757;4.62490117664592;24.8007858103838;2.78801852334908;7.18984796610274;3.98636504072407;-3.53701652101131;-7.14282891079259;-11.4647005924474;11.0203331690344;-9.32342917188738;13.0247560088522;13.6668438098697;0.495313391204366;3.84291757522279;4.19954544741509;0.649843791046233;-5.7695016102745;5.96227003589971;-1.75628983843651
