id;view;meanb
EL43144;D;0.034115689
EL43144;V;0.066324163
EL43145;D;0.030595799
EL43145;V;0.056559853
EL43168;D;0.034523789
EL43168;V;0.046041649
EL43171;D;0.040716747
EL43171;V;0.051620855
EL43178;D;0.032704543
EL43178;V;0.065516461
EL43179;D;0.043944289
EL43179;V;0.062517831
EL43181;D;0.029712292
EL43181;V;0.041042512
EL43216;D;0.031865147
EL43216;V;0.046028661
EL43218;D;0.047375044
EL43218;V;0.070949395
EL43219;D;0.049204369
EL43219;V;0.067375427
EL43224;D;0.04217035
EL43224;V;0.055387746
EL43226;D;0.046193619
EL43226;V;0.062970234
EL43229;D;0.036595165
EL43229;V;0.058355966
EL43230;D;0.038742528
EL43230;V;0.058644276
EL43239;D;0.058485125
EL43239;V;0.084590198
EL43240;D;0.062841991
EL43240;V;0.095445481
EL43249;D;0.053575932
EL43249;V;0.094612063
EL72366;D;0.096787608
EL72366;V;0.10453043
EL72367;D;0.08092803
EL72367;V;0.095109091
EL72407;D;0.113612796
EL72407;V;0.118580128
EL72417;D;0.027907797
EL72417;V;0.061014818
EL72418;D;0.0530973
EL72418;V;0.057056069
EL72444;D;0.027808805
EL72444;V;0.049433961
EL72446;D;0.043379213
EL72446;V;0.057388739
EL72484;D;0.031673058
EL72484;V;0.063891589
EL72487;D;0.039892166
EL72487;V;0.075026694
EL72488;D;0.031083582
EL72488;V;0.059721149
EL72490;D;0.031049656
EL72490;V;0.062339659
EL72494;D;0.041069146
EL72494;V;0.076094341
EL72495;D;0.042071301
EL72495;V;0.073325447
EL72508;D;0.045643996
EL72508;V;0.068944616
EL72509;D;0.039594448
EL72509;V;0.07634861
EL72510;D;0.037870563
EL72510;V;0.070355012
EL72573;D;0.037096071
EL72573;V;0.055887815
EL72575;D;0.061405669
EL72575;V;0.085096273
EL72583;D;0.057253791
EL72583;V;0.074205185
EL72586;D;0.037881828
EL72586;V;0.060035576
EL72599;D;0.04908318
EL72599;V;0.098063696
EL72600;D;0.055648343
EL72600;V;0.096294885
EL72601;D;0.069939372
EL72601;V;0.097876244
EL72602;D;0.074931622
EL72602;V;0.122372175
EL72603;D;0.036018272
EL72603;V;0.055023904
EL72604;D;0.045856375
EL72604;V;0.049034299
EL72612;D;0.061312249
EL72612;V;0.050719099
EL72614;D;0.029093419
EL72614;V;0.035323643
EL72619;D;0.071579979
EL72619;V;0.096007052
EL72620;D;0.056449084
EL72620;V;0.045061618
EL72621;D;0.059348801
EL72621;V;0.085200613
EL72654;D;0.028059061
EL72654;V;0.035215985
EL72659;D;0.075310517
EL72659;V;0.109939553
EL72664;D;0.029680922
EL72664;V;0.040515821
EL72667;D;0.035081773
EL72667;V;0.048930702
EL72668;D;0.058883602
EL72668;V;0.095713512
EL72709;D;0.027758609
EL72709;V;0.054905049
EL72712;D;0.034958346
EL72712;V;0.070652189
EL72716;D;0.032725277
EL72716;V;0.069024701
EL72718;D;0.029787509
EL72718;V;0.039589883
EL72719;D;0.027618671
EL72719;V;0.034787252
EL72720;D;0.029194751
EL72720;V;0.03762891
EL72723;D;0.047309144
EL72723;V;0.059016194
EL72725;D;0.061071764
EL72725;V;0.079729502
EL72738;D;0.042958177
EL72738;V;0.063307759
EL72742;D;0.049669458
EL72742;V;0.065250285
EL75301;D;0.042151122
EL75301;V;0.083564321
EL75302;D;0.037262962
EL75302;V;0.078134206
EL75313;D;0.051613481
EL75313;V;0.073872183
EL75314;D;0.088395655
EL75314;V;0.093197347
EL75315;D;0.065253569
EL75315;V;0.08156064
EL75326;D;0.045940666
EL75326;V;0.136679243
EL75327;D;0.051548503
EL75327;V;0.168774325
EL75328;D;0.0431365
EL75328;V;0.15397116
EL75334;D;0.036713799
EL75334;V;0.084718174
EL75335;D;0.034099418
EL75335;V;0.09403515
EL75337;D;0.040452011
EL75337;V;0.092598327
EL75342;D;0.040441674
EL75342;V;0.058516442
EL75344;D;0.044753843
EL75344;V;0.077547392
EL75346;D;0.039176761
EL75346;V;0.079639617
EL75347;D;0.038571415
EL75347;V;0.07859296
EL75348;D;0.052419807
EL75348;V;0.103479415
EL75353;D;0.062374921
EL75353;V;0.094453955
EL75354;D;0.06615825
EL75354;V;0.095496415
EL75355;D;0.067226423
EL75355;V;0.091744784
EL75357;D;0.054465976
EL75357;V;0.115231148
EL75358;D;0.041454642
EL75358;V;0.05567142
EL75359;D;0.043884953
EL75359;V;0.07347459
EL75360;D;0.04937574
EL75360;V;0.073142772
EL75361;D;0.04628548
EL75361;V;0.068523724
EL75362;D;0.059379263
EL75362;V;0.091665349
EL75364;D;0.039522838
EL75364;V;0.102556642
EL75365;D;0.044406067
EL75365;V;0.106972808
EL75366;D;0.046339715
EL75366;V;0.098969986
EL75368;D;0.040866878
EL75368;V;0.070671537
EL75373;D;0.063597572
EL75373;V;0.116471943
EL75375;D;0.125521994
EL75375;V;0.15136783
EL75380;D;0.049101431
EL75380;V;0.079072851
EL75385;D;0.053060612
EL75385;V;0.08806453
EL75386;D;0.053138066
EL75386;V;0.085627991
EL75388;D;0.094504683
EL75388;V;0.147017842
EL75390;D;0.092872396
EL75390;V;0.121737245
EL75391;D;0.109424211
EL75391;V;0.15138104
EL75401;D;0.084400781
EL75401;V;0.12777204
EL75402;D;0.078113495
EL75402;V;0.096130947
EL75424;D;0.047370407
EL75424;V;0.114988502
EL75426;D;0.057463285
EL75426;V;0.119916254
EL75428;D;0.068263707
EL75428;V;0.144780785
EL75429;D;0.060018179
EL75429;V;0.13032297
EL75430;D;0.051252536
EL75430;V;0.082515185
EL75507;D;0.042112666
EL75507;V;0.067073261
EL75508;D;0.034118077
EL75508;V;0.051095069
EL75511;D;0.043684414
EL75511;V;0.058706144
EL75513;D;0.058015123
EL75513;V;0.062741984
EL75529;D;0.096242753
EL75529;V;0.064254138
EL75543;D;0.128508944
EL75543;V;0.054059388
EL75560;D;0.036083495
EL75560;V;0.054614422
EL75562;D;0.052064236
EL75562;V;0.065103444
EL75563;D;0.048608027
EL75563;V;0.061468758
EL75565;D;0.04335921
EL75565;V;0.059351955
EL75579;D;0.113712548
EL75579;V;0.042575252
EL75581;D;0.075751321
EL75581;V;0.050061829
EL75585;D;0.093470659
EL75585;V;0.04863754
EL75587;D;0.093840881
EL75587;V;0.066881123
EL75593;D;0.047783005
EL75593;V;0.054163512
EL75595;D;0.051931222
EL75595;V;0.061338747
EL75598;D;0.039163157
EL75598;V;0.061358595
EL75599;D;0.047516849
EL75599;V;0.078447573
EL75607;D;0.038503104
EL75607;V;0.060057573
EL75608;D;0.037457903
EL75608;V;0.060250332
EL75615;D;0.048937353
EL75615;V;0.070131726
EL75616;D;0.038444216
EL75616;V;0.071371376
EL75617;D;0.038478702
EL75617;V;0.058149063
EL75618;D;0.041691003
EL75618;V;0.068491307
EL75619;D;0.038260882
EL75619;V;0.056364992
EL75620;D;0.039851239
EL75620;V;0.059354509
EL75621;D;0.04159816
EL75621;V;0.065915353
EL75623;D;0.049983462
EL75623;V;0.063471976
EL75662;D;0.030531644
EL75662;V;0.049050199
EL75664;D;0.038729022
EL75664;V;0.061308056
EL75675;D;0.030018161
EL75675;V;0.070570652
EL75676;D;0.032751714
EL75676;V;0.06387191
EL75678;D;0.038940171
EL75678;V;0.090373038
EL75679;D;0.051704301
EL75679;V;0.099066762
EL75680;D;0.052520898
EL75680;V;0.097187057
EL75681;D;0.061375405
EL75681;V;0.103353229
EL75682;D;0.056375197
EL75682;V;0.094175466
EL75685;D;0.03589227
EL75685;V;0.079414291
EL75730;D;0.035513032
EL75731;D;0.071225719
EL75731;V;0.062081151
EL75736;D;0.028778118
EL75736;V;0.061170375
EL75737;D;0.037881718
EL75737;V;0.060515684
EL75738;D;0.029176993
EL75738;V;0.046031746
EL75739;D;0.043810713
EL75739;V;0.06240433
EL75740;D;0.039626279
EL75740;V;0.065108996
EL75741;D;0.04229767
EL75741;V;0.067990963
EL75748;D;0.038534908
EL75748;V;0.058286922
EL75760;V;0.056612028
EL79449;D;0.040441377
EL79449;V;0.072453411
EL79450;D;0.038221989
EL79450;V;0.053312293
EL79454;D;0.045133464
EL79454;V;0.088702021
AP0073D;;0.067882235
AP0073V;;0.094715484
