id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18
AC0038;D;-24.29685981;14.017745919902344;7.408924941531435;1.7151199992687034;4.386734303447999;-1.789476548;-9.965760976;-0.761493393;6.280315060633197;-2.597295677;2.8649658715274455;-2.877824719;-2.436877661;-5.902366426;-1.833091986;-0.165424335;0.6500390152527168;-3.626581566;1.0797878461948098
AC0038;V;-3.738063607;32.16002750154982;-20.93634282;1.0277206371630854;4.5775913058476085;2.3884114509460987;-17.87831615;3.893943191596683;-2.161928217;-14.30012823;0.7668195682042834;-2.667019689;5.103845474975602;-5.212264093;-0.774035946;5.476612919415875;-2.257151914;1.1212700877104602;-3.27545931
AC0087;D;-5.668905627;26.97156843312185;-18.01276685;-2.286767878;-9.091303747;-0.381372442;-6.014783263;-5.710526219;-6.214297086;-13.37484555;2.3117648192642863;-2.338533918;1.6667152305059427;-7.114118058;-5.871778597;5.117758465839821;-2.680397721;0.39093480957502647;-0.608172278
AC0087;V;26.042699802864654;40.55037723632767;-26.68575053;-27.28343435;-2.112012035;4.545476458601108;18.334340466140635;9.218947573;6.409540821231042;19.09745436556296;4.140228010904186;-14.9511934;15.963817774171034;20.76588008448263;-11.03556054;-5.10845242;6.660771016784578;9.030991288069359;-7.741132126
AC0402;D;33.67676237100444;-25.57712748;7.915376842233287;-15.3451309;-12.06514216;2.2411485342875235;-8.561930965;5.295964060367127;7.712312228752429;-13.36664167;7.630804439081134;-4.680170904;5.8432333169250885;-12.04839174;2.1062821324736634;-9.825901961;-0.073002078;2.5440670744216267;2.617957828
ACC0002;D;-5.783669235;20.414773156717995;-17.80926024;-4.736445912;-22.04482075;-5.233638214;2.2059269541432553;-7.874490927;-6.292122078;3.872586117554833;0.8827114333169137;4.6886374654946215;-0.600269081;-7.427656726;4.661921598135056;-2.835508496;1.409095265;-0.206307883;0.13389946349240447
ACC0002;V;14.354196862029525;12.221875197018557;-27.83170613;3.8724669698891807;1.0894146608335005;-1.742329536;-10.10152291;5.880444914929361;-3.983143437;9.889980900517747;-2.223253822;1.0762554308051768;14.882748361793826;0.7656125699246213;11.729019765435655;-3.385397658;5.640496165529816;-0.948498063;3.0890205967155526
ACC0005;D;-12.91173663;11.514261369604982;-11.67772675;-2.124266226;-13.99178982;-5.644085767;-2.989691305;-5.846273515;-5.334200845;2.339127221773409;3.5010389282128407;4.522318998251505;-9.072193647;-4.50159051;-0.18457205;0.14066785262000325;-0.86638136;1.2402573299954054;0.9885285402848191
ACC0005;V;-0.653316473;19.39476341478574;-24.44501754;3.279572929830608;-7.614592551;-12.53781267;-6.696087079;4.787053357281425;-0.026193062;7.259433251001343;-3.943663883;2.909752572370928;-0.674142699;-5.062648087;3.796790480760477;-6.318226828;1.2422982867741796;-1.71911329;0.467944323
ACC0006;D;-13.86078601;18.22554563009951;-11.50991528;-0.994134405;-12.04106582;-7.247191804;-5.330350855;-4.760737304;-2.746604433;-1.043901047;2.7287493298180716;3.358440585392349;-7.99590305;-6.18182018;0.3459130315690712;-0.071672744;0.6707216242704018;0.35382295269694775;0.5885844044856067
