num;id;box;genus;Subgenus;sp;ssp;loc;sex;Hauteur_platine;form;Note
272;EL72629;B0004531;Papilio;Menelaides;thaiwanus;-;Taiwan;M;60;;
273;EL72630;B0004531;Papilio;Menelaides;thaiwanus;-;Taiwan;M;60;;
274;EL72631;B0004531;Papilio;Menelaides;thaiwanus;-;Taiwan;M;60;;
275;EL72632;B0004531;Papilio;Menelaides;thaiwanus;-;Taiwan;M;60;;
276;EL72633;B0004532;Papilio;Menelaides;macilentus;-;Japon;M;60;;
277;EL72634;B0004532;Papilio;Menelaides;macilentus;-;Japon;M;60;;
278;EL72635;B0004532;Papilio;Menelaides;macilentus;-;Chine;M;60;;
279;EL72636;B0004532;Papilio;Menelaides;macilentus;-;Chine;M;60;;
280;EL72637;B0004532;Papilio;Menelaides;macilentus;-;Chine;M;60;;
281;EL72638;B0004532;Papilio;Menelaides;macilentus;-;Japon;F;60;;
282;EL72639;B0004533;Papilio;Menelaides;nephelus;sunatus;Malaisie;M;60;;
283;EL72640;B0004533;Papilio;Menelaides;nephelus;sunatus;Malaisie;M;60;;
284;EL72641;B0004533;Papilio;Menelaides;nephelus;sunatus;Malaisie;F;60;;
285;EL72642;B0004533;Papilio;Menelaides;nephelus;albolineatus;Indonésie (Sumatra);F;60;;
286;EL72643;B0004534;Papilio;Menelaides;nephelus;albolineatus;Indonésie (Sumatra);M;60;;
287;EL72644;B0004534;Papilio;Menelaides;nephelus;albolineatus;Indonésie (Sumatra);M;60;;
288;EL72645;B0004534;Papilio;Menelaides;nephelus;nephelus;Indonésie (Java);M;60;;
289;EL72646;B0004534;Papilio;Menelaides;nephelus;nephelus;Indonésie ;M;60;;
290;EL72647;B0004534;Papilio;Menelaides;nephelus;nephelus;Indonésie (Sumatra);M;60;;
291;EL72648;B0004535;Papilio;Menelaides;mahadeva;mahadeva;Thaïlande;M;60;;
292;EL72649;B0004535;Papilio;Menelaides;mahadeva;mahadeva;Thaïlande;M;60;;
293;EL72650;B0004535;Papilio;Menelaides;mahadeva;mahadeva;Thaïlande;M;60;;
294;EL72651;B0004535;Papilio;Menelaides;mahadeva;mahadeva;Thaïlande;F;60;;
295;EL72652;B0004536;Papilio;Menelaides;mahadeva;mahadeva;Vietnam;M;60;;
296;EL72653;B0004536;Papilio;Menelaides;mahadeva;mahadeva;Vietnam;M;60;;
297;EL72654;B0004537;Papilio;Menelaides;aegeus;aegeus;Australie;M;60;;
298;EL72655;B0004537;Papilio;Menelaides;aegeus;aegeus;Australie;M;60;;
299;EL72656;B0004537;Papilio;Menelaides;aegeus;aegeus;Australie;M;60;;
300;EL72657;B0004537;Papilio;Menelaides;aegeus;aegeus;Australie;M;60;;
301;EL72658;B0004537;Papilio;Menelaides;aegeus;aegeus;Australie;M;60;;
302;EL72659;B0004538;Papilio;Menelaides;aegeus;aegeus;Australie;F;60;;
303;EL72660;B0004538;Papilio;Menelaides;aegeus;aegeus;Australie;F;60;;
304;EL72661;B0004538;Papilio;Menelaides;aegeus;aegeus;Australie;F;60;;
305;EL72662;B0004538;Papilio;Menelaides;aegeus;aegeus;Australie;F;60;;
306;EL72663;B0004538;Papilio;Menelaides;aegeus;aegeus;Australie;F;60;;
307;EL72664;B0004539;Papilio;Menelaides;gambrisius ;gambrisius ;Indonésie (Amboine);M;60;;
