id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18
ACC0002;D;-13.42973613;5.23591615;-17.87886888;3.333844306;6.184593066;2.652410994;-2.072958409;5.700577871;1.813975345;-4.903754835;-4.259983241;-0.540626462;0.84361627;4.807596155;-4.962150802;-1.609652025;1.205143583;-1.731218472;0.991807691
ACC0002;V;10.00012844;21.9930176;-30.31927783;3.396210114;-4.910093466;-4.279170404;-7.094742895;7.39444312;2.47158982;-4.180280059;-3.449163981;6.917167735;8.042955679;7.681110817;3.414711324;-0.244625876;-3.94308145;-0.132352278;-6.023670879
ACC0005;D;-19.30288825;8.013578919;-0.035346219;-2.394200428;0.200175945;-6.204211011;-1.887150236;2.117584672;-2.005983134;0.400834989;-4.596577777;1.107235579;-1.955935381;0.997933466;-4.603130625;3.105433115;0.840627341;-1.857891534;-0.850400098
ACC0005;V;-6.794395245;17.04206076;-24.36554291;4.021768776;-1.517336619;-4.36510146;-3.156435322;9.583652034;1.821046211;-3.041397746;-8.889009743;0.958126415;3.959344672;1.791251121;-0.26981266;4.123114099;2.977641548;-2.445424316;0.591343952
ACC0006;D;-19.19750276;12.77199007;0.918794453;0.365505027;-0.910761352;-11.95725124;-3.259223031;0.611706898;-3.070731443;2.363564211;-4.607502576;1.45247163;0.371695414;0.237673699;-4.574305216;2.934875647;1.074104124;-1.848426629;-2.664230924
ACC0006;V;-10.13495563;16.52922856;-21.08516243;0.792788864;-0.937569813;-5.131137665;-1.285983259;7.057249559;3.113315896;-1.844559304;-8.44371539;1.113252594;1.862793492;2.463672233;-5.05513928;3.835372355;2.52525733;-1.580690107;1.20550147
ACC0017;D;-21.89474273;17.52374721;-1.635983322;-3.060433918;1.403103039;-9.143734435;-1.610503524;-5.716885429;-3.425840044;2.155148288;-6.64336693;-2.178948144;-4.626959843;-2.58848849;-7.677544263;0.549026915;1.106163723;3.215372753;-1.090108064
ACC0017;V;-2.375810634;42.57011626;-31.744458;3.008832171;-2.011445051;-10.02807092;-1.804369236;-8.272296034;4.019531345;7.165120551;-1.596621893;-5.106418183;-8.485318112;-0.699199803;4.597536094;-7.432538343;-2.702203786;0.613561453;-2.452995763
ACC0019;D;-24.72121067;15.21553745;4.332014833;-3.705509827;1.245715074;-6.130015425;3.303284144;-9.561402352;1.304768656;0.802330073;-2.725896181;2.037670509;-3.3855929;-3.326334234;-4.837073145;-1.193451098;0.385699892;0.697272813;-2.19947599
ACC0019;V;-18.35595265;29.14265406;-6.178761688;-0.906615307;-5.734463621;-9.027270348;1.280845167;-14.14578029;6.965405841;5.405895671;-1.910721287;2.314384627;-7.714080663;-1.693850882;-4.441503414;-6.182046875;2.246194156;-0.026343317;-3.662936143
ACC0025;D;-24.93819279;17.80381369;0.29782555;-2.820257032;3.604779801;-6.912732534;1.891360274;-9.907474882;-1.385537206;1.318311798;-4.455426585;-1.011772377;-4.815211303;-4.050115213;-7.268740576;-2.440474755;0.291089119;2.368011523;-1.914036037
ACC0025;V;-10.30280848;38.09397963;-17.47681167;2.978104732;-3.675187194;-11.60171437;1.573421642;-15.00022261;4.42164222;12.71503673;2.792852663;-0.979267681;-11.16197363;-2.194646093;0.482782004;-13.12660978;-3.020665285;0.623456587;-4.056772847
ACC0027;D;-23.6526341;22.0475099;-2.452425116;-2.769175467;-0.246006504;-4.825753033;6.578213547;-13.27993628;6.081467028;1.485371704;-2.897302955;1.68914353;-6.099181357;-3.606614267;-5.137911652;-4.15547549;2.128036668;0.139093853;-2.408432596
ACC0027;V;-12.79069921;35.30979159;-4.207985448;3.586783955;-10.94584478;-6.582654238;5.580412737;-18.8247595;12.55322938;11.3214391;5.918118031;5.340185896;-8.737179163;-2.094148951;3.899548099;-12.07286095;0.584330676;-2.063130784;-6.418142705
ACC0028;D;-23.38258718;5.099323751;9.072690882;0.861823374;4.507682553;-5.440517052;-0.175317491;-4.557866806;-3.025279833;-0.17012468;0.583911272;-1.117725894;-0.337986857;0.327386819;-0.717153988;1.468452799;-0.605053848;0.850397504;-0.607324361
ACC0028;V;-5.980055371;35.14567024;-15.95960295;12.36545352;-5.909913222;-15.02253825;-5.874695668;-8.871459555;6.80510193;9.171389861;2.45537184;0.805526805;-7.755890589;1.799476024;4.850300904;-10.52307694;-1.987514943;-2.29181524;-7.24670114
ACC0031;D;-23.82171654;18.50534855;-0.884727801;-2.889510004;1.426996027;-10.26824337;2.410212187;-7.683957695;0.081702864;1.897649135;-4.145842113;-0.236329789;-4.696683003;-1.871153217;-7.95854784;-0.689759091;1.358215689;1.543871089;-2.637069575
ACC0031;V;-11.05975472;38.10932801;-18.75219453;4.192039388;-5.184346433;-13.33823777;0.980174262;-10.30613123;6.657112357;7.499159128;-0.200514023;-1.382428073;-8.075150213;-0.332146566;3.117699888;-8.54965322;-0.136187953;-0.291335721;-6.347287474
ACC0036;D;-24.64574961;9.437509937;4.818503814;-4.670130612;5.11213343;-2.624478393;3.381656269;-5.855028931;-1.686996493;-1.503847532;-2.843629021;-0.59523115;-3.470095748;-2.031362981;-4.712827489;1.512161873;-1.096392961;1.954489267;1.576184919
ACC0036;V;-22.4073508;16.76568646;-1.324353431;-6.344938682;1.979732704;-1.429427304;4.485492836;-8.396075105;2.248181737;0.268138327;-3.956859506;-0.309153057;-8.836714467;-3.709482928;-7.820268616;0.237033892;0.685124224;1.857745881;-0.029922977
ACC0037;D;-26.91507582;11.62421646;5.476347297;-3.060127797;6.99878319;-3.245017204;5.360674071;-9.687931881;-0.504099469;-2.496533576;-2.944467315;0.902484495;-1.64390698;-4.154538957;-4.506568795;-0.660790184;-1.647705818;1.957149817;1.210451719
ACC0037;V;-22.35630286;22.70002571;-3.446494162;-1.401968089;2.420989252;-6.307224092;3.227884916;-11.0798472;2.461612044;1.363492085;-4.145202218;0.534953953;-5.948818279;-4.459944033;-4.823890113;-3.125357126;0.508194739;1.317935485;-1.660906248
ACC0048;D;-23.65245956;9.506523008;6.491654851;1.151701819;4.823200711;-8.916037142;-2.797840864;-4.901974523;-4.982447118;-0.01870594;-1.754088569;-0.693476883;1.429945539;0.355508389;-1.890432134;0.095922284;-0.614605598;1.799509496;-1.001928156
ACC0048;V;-20.96572816;9.127635504;3.25575979;-3.150411455;1.598795223;-7.619632212;-3.620191177;-2.758795017;-4.765800792;1.909808809;-3.357358606;1.162668431;-1.776438844;0.754873831;-4.565606638;0.587314002;-1.01490773;1.410964761;-1.08594388
ACC0049;D;-27.2341093;5.032845274;13.46531451;2.568156031;8.568945551;-7.144509748;2.569307653;-8.76482429;-6.271274185;-1.109828829;1.659357726;-0.748032666;6.586242099;-1.153658608;1.198300159;-1.035512523;-2.147200258;4.270075592;0.358704222
ACC0049;V;-25.82963286;8.059063821;9.877813006;-3.409584355;4.352050489;-6.29029795;4.185719293;-7.835915859;-3.250250454;0.553861608;-1.264396909;1.569192374;-0.365418273;-2.642150153;-3.464336069;0.896919297;-1.785849167;2.996709475;-0.578300699
