"id";"view";"coord0";"coord1";"coord2";"coord3";"coord4";"coord5";"coord6";"coord7";"coord8";"coord9";"coord10";"coord11";"coord12";"coord13"
"EL75366";"V";7.93917207652147;-13.8162294099606;-16.0488881175328;-0.247993557757832;0.0114921740410773;5.8932065338812;-3.68420759424082;-4.00988787172797;9.32487150007215;7.67665804071028;-0.515044587363103;1.98340317951642;2.33636949860631;-5.51903364117143
"ACC0267";"V";26.450315946437;2.66848849006581;-17.4839180292089;-11.7305045315626;-0.864269461667469;-4.15418858518879;13.6322211247189;4.02143642532646;-3.24971724866885;-2.13264227784515;-14.6513958881316;-4.01121373387087;-1.93302513360953;-10.3110901277697
"EL72418";"V";-16.8302097796055;27.0015637045114;1.26459628639973;1.46442454235872;-17.901107859598;-2.36838243288334;-6.88528476833728;13.2123399453484;-7.16715462018759;2.96564590099542;1.16255649802018;0.922203770527451;-12.559074169735;-1.91449164710751
"EL72446";"V";-14.9696760376465;23.5197844234685;-0.715681722176689;-1.23531268801183;-18.5953285826065;-3.02098827428551;-6.23474455997535;10.8174781008192;-3.29996534888883;2.69447077510943;0.969250526826349;1.37344436548163;-9.32899282721258;0.474000588179306
"ACC0002";"V";11.4460480498941;20.5324082968377;-23.9492658282798;-20.1000362566137;17.406406814164;-9.74437685674111;4.03507043332168;-1.07355083924422;12.3361849707293;-7.66621304071979;-9.11362631723631;-11.6756740745026;-3.51643922939844;-2.36515401035795
"ACC0006";"V";-9.15293577098456;15.9647041360763;-16.6086234339302;-10.8131940890714;13.1130789218289;-9.10610822346368;-1.46919204410706;0.701503371254858;10.9387133865066;-2.65988136815346;-6.12623648654476;-3.55060283529976;4.12629782124045;2.49234299016666
"EL72659";"V";8.26380855766079;18.6364705118838;-23.8118615582002;-0.73716859259251;-6.3579487989104;11.6110889518375;-1.19223976953736;0.534809371853233;5.33599847333266;0.171615215604287;-6.27879976453883;-1.14146784183617;-4.45088346648697;-9.30402536928707
"EL72723";"V";-14.5874650689129;7.671203683427;-5.09960599943914;0.56563252170179;-6.81565461220092;-0.0988964269616305;-1.81815618534996;0.794706177564695;4.85890206867353;2.01441944638074;-4.10172443148992;3.01321374345146;-2.81338780508892;1.94026039394847
"EL72725";"V";0.92594808822417;3.12582587211106;-16.3834484346393;-5.16047371172005;-3.56382711169017;-5.20126954610804;4.55636685083311;-1.43035333064853;10.5885162298607;5.39364616314865;-7.48570994097278;1.22384943700138;-2.17701334589201;-2.0697971042361
"EL43105";"V";-9.60578718977769;-2.02195815980843;-0.834713445175048;-0.482506764357286;-6.73166207569374;5.96648142949069;1.63642807984969;1.06005620771369;4.3850871228419;-3.3480104310409;-2.69976258021547;4.56134358692013;-0.611060973619847;0.540122447513185
"EL75741";"V";-7.56164781855811;-9.33169021497262;-0.447926465168824;0.850669049207949;-5.3039975466804;14.2269468480287;-6.42163385888647;1.43280380297168;3.99520860614544;-4.14126013291334;0.262139540789425;2.74711389572864;-3.87461070882609;4.4786726700146
"EL75599";"V";-11.2012505404205;-2.53558993253365;-8.98785367011938;1.01552602741593;1.51733333118774;10.4909192077349;-3.9949518945931;-0.446169397705567;5.00477410022842;-4.48421597499558;-5.4277529683865;2.03913120935845;0.575005995836066;-0.607709411326841
"EL75737";"V";-20.3649946402305;2.03914730645512;4.1186045085572;9.19454775578629;-7.00006948045593;11.7153085346998;-14.147971385487;3.32418863511367;-3.7745895900293;-2.14141815147172;0.378429768390897;3.77821087047653;-6.50892869547351;2.53310249842825
"EL75738";"V";-16.7524584788122;-6.96502763374253;4.89815344498749;3.40413565496872;1.75392096626196;7.2322569444322;-2.92774573252686;-1.0473635709983;0.429208791181881;-5.52509076572631;0.00312851091128118;0.0633532845903791;-1.87659620641343;1.43987192911629
"EL75513";"V";-20.0057337351426;2.93746417946939;-8.6166220617953;-1.43514135101058;25.6183611169833;2.67393180245254;-12.3787787917711;-0.367917487252772;2.81094113093769;-8.69125006146993;-4.63587814352941;-4.28351449184746;3.07495069650736;2.9224972673845
"EL72494";"V";2.84604867203109;14.7569400229286;5.60132782649348;-7.0311116189262;-25.4132281394259;12.8439419915295;-12.2242834326997;12.6258600587795;-0.328146957245922;-3.42717615040012;8.98653886505119;-1.50246696808052;-8.21835722145324;-2.15282697547867
"EL72495";"V";0.801156534171433;14.5442588861438;-1.56955041450763;-5.1931028397804;-25.124155577786;13.2550536270784;-7.80518154482598;11.8607751862248;-0.528663076327044;-3.95727635130323;2.96481713835981;-0.0411867352753626;-5.94831970200188;-2.29776437529223
"EL72508";"V";11.4004136604915;-24.0875419028422;2.57910511341777;-8.85733014911301;-8.02822116634437;-1.99638391001368;-0.256695418283926;4.49836647085209;2.94660673557678;2.91786820455588;7.12805948108866;0.0297441301791143;-0.351995278603843;2.26781989897225
"EL72510";"V";3.02602500824249;-9.39556472028067;-2.10166055594798;-0.925666407089186;-18.3544097757614;10.9789956651785;-2.56512017557778;3.27732337030803;2.75646738948274;3.27699078721635;4.25986062925392;3.8515111103223;5.50786151627462;-1.07028540253282
"EL72712";"V";-14.0606783953778;-1.32077691605687;0.796594325257607;2.32183024885644;-3.90752748891415;6.65008421737625;-3.53658337482855;3.71246530175316;0.944071113230726;-4.48291755042139;-2.2052408523807;3.81646796297903;-7.91213369306835;0.544725152897644
"EL72716";"V";-12.9490955375309;1.73075274175093;-1.78905707368905;1.2041654837434;-6.37355679900775;7.96714430266856;-2.21095629477339;3.94101792007686;1.08750786185752;-4.75864794663206;-4.27340489170174;3.44864107109142;-6.85498490731705;0.664236772594479
"EL43108";"V";-11.0344406076702;-9.1830446807599;0.79379074163272;0.161095272859305;-1.92860030085561;4.58698384064988;1.27693575946333;-2.21828858709368;6.47729768164409;-0.488196201678977;1.69109149729139;3.74281729145661;0.751635845774007;5.08175680572328
"EL75681";"V";16.8148680049584;20.8887933194804;-14.3148794326398;-5.2939259402466;-18.3525073782739;17.280610314223;-3.60773294137919;6.32781747934717;-5.50040794330107;-7.99329902090739;-2.50621981037549;-10.5694386148866;4.29034647114384;-12.6126355511828
"EL75682";"V";17.0906677002326;28.208776540612;-13.0125640083991;-11.9299120313958;-14.5049153933749;15.5107029531105;5.12048400905496;8.70496240809856;-7.90443512003954;-9.58548532521708;-3.33157320086951;-7.80568945884939;2.14602343860792;-8.84247449684717
