"id";"view";"coord1";"coord2";"coord3";"coord4";"coord5";"coord6";"coord7";"coord8";"coord9";"coord10";"coord11";"coord12";"coord13";"coord14";"coord15";"coord16";"coord17";"coord18";"coord19";"coord20";"coord21"
"ACC0112";"D";-13.7742516261443;26.6992133296409;-10.5041434586799;-0.22799493886588;0.304169250115477;-8.84982712385888;9.18927039460046;13.1620617163245;8.51446061026217;2.80119453923668;-5.86589407922995;-4.96766394086864;-1.68752734059281;3.3823125513731;12.2627155916112;0.625065323416421;-3.97884329883611;4.43723529090718;-0.107546999076948;0.672691895002282;0.724388422108952
"ACC0101";"D";-23.6381444755068;16.8029536298298;-2.25989924892274;7.24901906056294;2.53671776319294;-2.31209996561341;4.48029769107832;4.45852198465101;4.37652088298555;-2.85800165942176;-5.71698741494305;1.55709203521034;9.13909674737748;5.86728780909246;10.1190013080833;2.61380345954203;-2.33573718797675;-1.41948897160056;6.34244655892846;1.00475597262634;2.40451086379752
"ACC0128";"D";-10.6214528519155;31.0698168160847;-3.40691129321952;-2.39154055773935;6.99851978637787;1.23802716285611;6.66574174529282;4.00757009641272;1.3665636860381;2.97141283560003;-6.7144011452052;-2.78802414584879;-3.88607223758778;5.24584993351671;10.7490311178233;2.87270083336768;3.85981587725848;2.20377122930187;0.0622144215831494;-3.44926092728476;-0.959727801524024
"ACC0129";"D";-15.9867395927426;25.6667960650941;-3.86459940427893;10.5710859275559;4.48608682681519;0.306707182415188;-2.1659819384702;7.36387947902262;5.83092074672161;2.69018832480988;-10.2260764998747;-3.8324768285002;-4.59985615176212;6.67231228833317;11.2465727010325;-7.98264109952585;1.25483547299831;2.58112774582406;5.16661709093568;-1.69158208619658;-5.0542334385584
"ACC0119";"D";14.0419737032759;30.6598299228061;-3.50495031220813;-11.9142536789206;15.9766755760447;-1.34578069031163;-0.851154532801915;-1.87993271829922;-3.33512979437171;3.92503306356625;3.58516296127237;-4.99416595831222;-18.7476896647347;-8.42671542095294;0.461091046925354;3.09033380175049;10.2380294990744;4.59964900472409;-2.44838992853657;-9.58873666655788;-5.61845263102477
"ACC0370";"D";18.7377915307165;-6.18911725725257;-32.9072257187287;0.0394566856310618;-0.823607276437519;-16.1845050636563;-17.4439000451902;1.22961538579046;-2.73537846687523;1.01638407570586;3.82187592297335;3.72951574204614;0.865233747492722;8.5982678530045;-12.3367862723727;-2.72808395254842;2.28602497820637;2.44356996499485;5.82490046477078;-5.5330573653442;12.0030720265028
"ACC0390";"D";16.8665940725479;-10.8494989701979;-24.2496902699106;9.26437958607462;13.0349140860339;-3.16434341183388;-12.5307352446921;-4.09724266841807;4.83663442333096;7.6596936121734;-3.99356953386009;-2.74554207917264;1.41621764670941;27.3392785092869;-1.97639053171111;10.2082367954579;-4.27586483422164;8.56199014256863;-9.74198979503517;-8.46935636386294;4.00857474813487
"ACC0391";"D";8.03211909115307;-16.0570034471772;-24.5325242893477;-8.28251146871005;-13.8227595734536;-2.91387838392586;-6.01847538787356;3.15488677033505;-2.75174757768082;-1.87476334869392;-3.31374705378472;-2.65665299084817;-4.89285652964566;0.998462948369871;-6.29922498872185;-9.69706799353695;2.56983716278703;-1.39924537647827;2.74647960109721;-1.61427033759161;-7.43895352177296
"ACC0378";"D";14.5629335647434;2.09199160348258;-31.4267420643223;-0.475558222509633;-1.28447185546087;-14.2136481930795;-13.8092390718191;13.6471878089016;-6.35970419422376;5.40826477975227;11.0406716241097;8.42395977021773;-3.21239546874105;-1.11117768172944;-12.2712656200437;-1.01385150484708;3.77148090593413;-0.425930448054916;9.59948799572397;1.04848686685183;11.7548825075261
"ACC0379";"D";6.39659415943451;-1.5643769722007;-31.8453539556604;1.89997142480276;-1.85947461716162;-5.93249407664299;-8.35609142877867;18.8866367904982;-9.59432187828314;11.1143039221052;9.29515105098032;12.6802168026826;-3.26333842004251;4.24295909133175;-14.6747826640206;2.17182883485353;-3.81719563116308;-2.74209605889985;8.0529952497403;7.91643981636775;2.54835037041517
"ACC0297";"D";3.92338254213597;-5.06278229962895;-29.0026180597875;3.20181367596342;-1.26899737027146;0.274747106825875;-6.41289215951468;16.7250480450349;-11.6921214696924;13.1849249414555;6.64076459963317;12.6137113321628;-2.87324159448392;6.40733961195583;-13.7426581978102;2.06176329807729;-5.65480366069159;-1.71129569026267;4.7714931153325;9.79865236144297;-2.79426058573899
"ACC0394";"D";28.2490699698504;-9.29028766969636;-9.4848580829537;8.98821970215307;-8.40301938164279;-17.0434010999301;-15.2950776065463;-3.9996059323641;3.83642012905042;-6.15690480902864;-14.8244108720131;0.325539035705909;-0.270970140345265;-5.80197351786882;6.26655559416738;6.49522551484476;6.84634833502272;-0.705666506987379;2.32536080183017;-8.45566492681442;3.71918667291961
"ACC0395";"D";7.41313481826633;-14.8189925366445;-21.2881285827669;-9.64766977179984;-15.8780881862664;-5.96241595517848;-5.91805017669458;3.41672339032888;-0.682998565023481;-3.02065845897967;-1.94453058966519;-4.27381768227437;-4.23172186305914;-2.28902021014726;-5.15615146567104;-10.3627869364731;3.06097262694695;-2.20185164679459;3.01220306819309;-1.5523029497976;-6.82992718551589
