;id;genus;sp;ssp;sex;form;collection_date;
2;ACC0002;Pachliopta;liris;aberrans;F;;1920;
5;ACC0005;Pachliopta;polydorus;polydorus;M;;1899;
6;ACC0006;Pachliopta;polydorus;septentrionalis;F;;1910;
17;ACC0017;Troides;aeacus;aeacus;M;;1899;
19;ACC0019;Troides;aeacus;aeacus;F;;1891;
24;ACC0024;Troides;prattorum;-;M;;1922;
26;ACC0026;Troides;prattorum;-;F;;1989;
35;ACC0035;Troides;amphrysus;amphrysus;M;;1892;
38;ACC0038;Troides;amphrysus;amphrysus;F;;1902;
48;ACC0048;Troides;criton;criton;M;;;
50;ACC0050;Troides;criton;criton;F;androgyna;1989;
60;ACC0060;Troides;minos;minos;M;;;
62;ACC0062;Troides;minos;minos;F;;1905;
63;ACC0063;Troides;miranda;miranda;M;;1918;
66;ACC0066;Troides;miranda;miranda;F;;1903;
71;ACC0071;Troides;rhadamantus;rhadamantus;M;;1903;
74;ACC0074;Troides;rhadamantus;rhadamantus;F;;1920;
77;ACC0077;Troides;vandepolli;vandepolli;M;;1923;
79;ACC0079;Troides;vandepolli;vandepolli;F;;1943;
87;ACC0087;Trogonoptera;trojana;trojana;F;;1983;
88;ACC0088;Euryades;corethrus;-;M;;1920;
91;ACC0091;Euryades;corethrus;-;F;;1920;
92;ACC0092;Euryades;duponchelii;-;M;;1868;
95;ACC0095;Euryades;duponchelii;-;F;;1903;
96;ACC0096;Parides;aeneas;aeneas;M;;1892;
98;ACC0098;Parides;aeneas;aeneas;F;;1908;
100;ACC0100;Parides;tros;-;M;;1925;
103;ACC0103;Parides;tros;-;F;;1886;
112;ACC0112;Parides;eurimedes;eurimedes;M;;1890;
115;ACC0115;Parides;eurimedes;eurimedes;F;;1899;
117;ACC0117;Parides;zacynthus;zacynthus;F;;1892;
118;ACC0118;Parides;zacynthus;zacynthus;M;;1918;
119;ACC0119;Parides;zacynthus;zacynthus;M;;1886;
128;ACC0128;Parides;vertumnus;vertumnus;M;;1908;
129;ACC0129;Parides;vertumnus;vertumnus;M;;1908;
130;ACC0130;Parides;vertumnus;vertumnus;F;;1908;
148;ACC0148;Parides;ascanius;-;M;;1884;
151;ACC0151;Parides;ascanius;-;F;;1920;
165;ACC0165;Parides;bunichus;bunichus;M;;1909;
166;ACC0166;Parides;bunichus;bunichus;F;;1909;
168;ACC0168;Parides;erithalion;erithalion;M;;1862;
169;ACC0169;Parides;erithalion;erithalion;M;;1920;
170;ACC0170;Parides;erithalion;erithalion;F;;1862;
171;ACC0171;Parides;erithalion;erithalion;F;;1910;
180;ACC0180;Battus;belus;belus;M;;1920;
182;ACC0182;Battus;belus;belus;F;;1918;
183;ACC0183;Battus;belus;belus;F;;1914;
184;ACC0184;Battus;crassus;crassus;M;;1911;
185;ACC0185;Battus;crassus;crassus;M;;1920;
186;ACC0186;Battus;crassus;crassus;F;;1874;
187;ACC0187;Battus;crassus;crassus;F;;1920;
192;ACC0192;Battus;philenor;philenor;M;;1892;
195;ACC0195;Battus;philenor;philenor;F;;1881;
207;ACC0207;Protesilaus;protesilaus;archesilaus;M;;1896;
208;ACC0208;Protesilaus;protesilaus;archesilaus;F;;1920;
209;ACC0209;Protesilaus;protesilaus;archesilaus;F;;1911;
213;ACC0213;Protesilaus;molops;molops;M;;1880;
216;ACC0216;Protesilaus;molops;megalurus;F;;1910;
244;ACC0244;Protographium;leosthenes;leosthenes;F;;1943;
261;ACC0261;Graphium;agamemnon;agamemnon;M;;1903;
263;ACC0263;Graphium;agamemnon;agamemnon;F;;1882;
264;ACC0264;Graphium;sarpedon;sarpedon;M;;1936;
266;ACC0266;Graphium;sarpedon;sarpedon;F;;1912;
267;ACC0267;Graphium;sarpedon;sarpedon;F;;1896;
297;ACC0297;Parnassius;eversmanni;eversmanni;M;;1937;
298;ACC0298;Parnassius;eversmanni;eversmanni;F;;1982;
302;ACC0302;Parnassius;glacialis;naganoënsis;F;;1958;
320;ACC0320;Parnassius;autocrator;-;F;;1958;
326;ACC0326;Parnassius;charltonius;romanovi;F;;1918;
333;ACC0333;Parnassius;augustus;-;F;;1909;
370;ACC0370;Parnassius;actius;actius;M;;1907;
373;ACC0373;Parnassius;actius;actius;F;;1982;
378;ACC0378;Parnassius;epaphus;epaphus;M;;;
379;ACC0379;Parnassius;epaphus;epaphus;M;;1905;
380;ACC0380;Parnassius;epaphus;epaphus;F;;;
381;ACC0381;Parnassius;epaphus;epaphus;F;;1952;
387;ACC0387;Parnassius;jacquemontii;himalayensis;M;;1918;
388;ACC0388;Parnassius;jacquemontii;himalayensis;F;;1907;
389;ACC0389;Parnassius;jacquemontii;himalayensis;F;;1918;
391;ACC0391;Parnassius;apollonius;alpinus;M;;1962;
393;ACC0393;Parnassius;apollonius;alpinus;F;;1895;
394;ACC0394;Parnassius;honrathi;honrathi;M;;1887;
395;ACC0395;Parnassius;honrathi;honrathi;M;;1923;
396;ACC0396;Parnassius;honrathi;honrathi;F;;1887;
397;ACC0397;Parnassius;honrathi;honrathi;F;;1899;
402;ACC0402;Parnassius;behrii;behrii;M;;1893;
403;ACC0403;Parnassius;behrii;behrii;M;;1896;
404;ACC0404;Parnassius;phoebus;phoebus;M;;1910;
407;ACC0407;Parnassius;phoebus;phoebus;F;;1910;
408;ACC0408;Parnassius;smintheus;-;M;;1932;
411;ACC0411;Parnassius;smintheus;-;F;;1932;
416;ACC0416;Parnassius;sacerdos;-;M;;1953;
419;ACC0419;Parnassius;sacerdos;-;F;;1950;
435;AP0001;Graphium;sarpedon;;;;;
436;AP0002;Graphium;sarpedon;;;;;
437;AP0003;Graphium;sarpedon;;;;;
438;AP0004;Graphium;sarpedon;;;;;
439;AP0005;Graphium;delessertii;;;;;
440;AP0006;Graphium;delessertii;;;;;
441;AP0007;Graphium;delessertii;;;;;
442;AP0008;Graphium;delessertii;;;;;
443;AP0009;Graphium;xenocles;;;;;
444;AP0010;Graphium;xenocles;;;;;
445;AP0011;Graphium;almansor;;;;;
446;AP0012;Graphium;almansor;;;;;
447;AP0013;Graphium;hachon;;;;;
448;AP0014;Graphium;auriger;;;;;
449;AP0015;Graphium;simoni;;;;;
450;AP0016;Graphium;;;;;;
451;AP0017;Graphium;ridleyanus;;M;;;
452;AP0018;Graphium;weiskei;;;;;
453;AP0019;Graphium;weiskei;;;;;
454;AP0020;Graphium;stesmani;;;;;
455;AP0021;Graphium;maclaeyanus;;;;;
456;AP0022;Graphium;gelon;;;;;
457;AP0023;Protographium;;;;;;
458;AP0024;Protographium;;;;;;
459;AP0025;Protographium;marcellus;;;;;
460;AP0026;Protographium;;;;;;
461;AP0027;Battus;belus;;;;;
462;AP0028;Parides;patros;;;;;
463;AP0029;Parides;pausanias;;;;;
464;AP0039;Papilio;paradoxa;;;;;
465;AP0040;Papilio;paradoxa;;;;;
466;AP0056;Papilio;demodocus;;M;;;
467;AP0057;Papilio;demodocus;;F;;;
468;AP0058;Papilio;demoleus;;F;;;
469;AP0059;Byasa;impediens;;M;;;
470;AP0060;Papilio;multicaudatus;;M;;;
471;AP0061;Papilio;demoleus;;F;;;
472;AP0062;Papilio;demodocus;;M;;;
473;AP0063;Papilio;demodocus;;F;;;
474;AP0064;Papilio;demoleus;;F;;;
475;AP0065;Papilio;pharnaces;;M;;;
476;AP0066;Byasa;impediens;;F;;;
477;AP0067;Byasa;impediens;;M;;;
478;AP0068;Papilio;multicaudatus;;F;;;
479;AP0069;;;;;;;
480;AP0070;Graphium;angolanus;;M;;;
481;AP0071;Graphium;ridleyanus;;F;;;
482;AP0072;Troides;amphrysus;;M;;;
483;AP0073;Graphium;antiphates;;M;;;
484;AP0074;Trogonoptera;trojana;;M;;;
485;AP0075;Trogonoptera;brookiana;;F;;;
486;AP0076;Trogonoptera;brookiana;;M;;;
487;AP0077;Graphium;antiphates;;F;;;
488;AP0078;Ornithoptera;aesacus;;M;;;
489;AP0079;Parnassius;nomion;;F;;;
490;AP0080;Parnassius;nomion;;M;;;
491;AP0081;Papilio;nireus;;M;;;
492;AP0082;;;;;;;
500;EL43105;Papilio;anchisiades;anchisiades;F;;;
501;EL43106;Papilio;erostratus;-;M;;1906;
503;EL43108;Papilio;erostratus;-;F;;1855;
526;EL43131;Papilio;androgeus;androgeus;F;;1919;
538;EL43143;Papilio;homothoas;-;F;;1908;
539;EL43144;Papilio;homothoas;-;M;;1927;
540;EL43145;Papilio;homothoas;-;M;;1923;
562;EL43171;Papilio;pharnaces;-;F;;1913;
569;EL43178;Papilio;nireus;nireus;F;;1895;
570;EL43179;Papilio;nireus;nireus;F;;1907;
605;EL43218;Byasa;dasarada;dasarada;F;;1904;
