id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18
ACC0216;D;4.342341994;0.807057097;-5.023898231;1.337957379;-9.173862172;20.32938982;2.069494182;-4.239881465;0.258398844;-7.456425637;0.110590916;-1.403411214;2.98722977;-8.870779506;-3.66801777;11.30953742;5.506723113;4.384184097;-5.863558047
ACC0216;V;37.99626743;34.62180405;-0.229426512;-0.683678204;-10.49979577;29.23410982;21.88982476;-2.722481718;-22.23759348;1.585976104;5.670417298;-5.084172594;3.196985685;-13.94790959;-8.623077261;7.464006521;1.847801523;-2.683067618;-5.763792913
ACC0242;D;15.91173041;-16.07654695;-7.297715833;-2.285656335;-9.437785233;16.66543498;11.64825432;-1.374956561;-2.250665362;-4.130877054;-2.355178768;-6.100236399;0.022194446;-1.285551073;1.245470561;5.380514194;5.966028745;8.932316487;-3.787320427
ACC0242;V;39.09176991;-10.40512263;1.711035039;-8.516986882;-7.4335339;21.92857395;15.58603504;1.705944062;-17.12143821;-1.903440015;-10.89394072;-12.43484951;3.608161328;-0.088520409;2.05677954;5.001252334;7.717253146;7.520207398;-3.633846381
ACC0243;D;13.29109628;-11.83055385;-12.59161527;-2.497745912;-5.891280894;18.438656;14.40288768;-4.546334317;-2.666539145;-4.127476854;-2.589477889;-6.003141569;0.201302734;-1.436751363;-0.406679603;7.850761303;6.164965911;9.282810551;-4.7463989
ACC0243;V;33.91669866;-10.93322412;-6.833994015;-11.35891759;-3.74348699;18.23907925;13.65087316;-0.015189298;-13.31102925;0.273574152;-7.64290557;-5.38965656;1.211970885;5.120116689;2.003310215;0.42567752;4.95107205;6.565809544;-3.364298833
ACC0244;D;25.15005518;11.350306;-3.138573156;-13.48887905;-13.52166133;20.53853393;16.02442302;0.29061135;-11.0934521;-6.284353812;-5.539160946;-5.200813981;4.759274383;7.146127089;-1.502376735;3.215456508;-4.17804677;5.954208917;-0.242745771
ACC0244;V;41.56148055;-7.478741351;0.901101135;-17.77677943;0.349516982;24.10990607;9.649813693;6.003844515;-18.66669505;-0.859115863;-9.916442869;-6.834101198;3.481981559;11.67994283;3.634290904;-4.026408218;3.376027862;5.33943604;-3.475992752
ACC0261;D;-15.39392797;-9.278711324;4.649892695;0.499087329;1.068902984;0.123372635;3.831263314;-4.281828116;0.69692834;1.742355251;3.289754592;-3.418040703;0.20050771;2.605938525;2.026918225;-0.272715504;1.916900664;-2.591438359;-0.714281152
ACC0261;V;19.25821398;-2.076958628;17.30798509;-7.241132222;-26.52907326;-0.435650617;-4.565528666;5.751555038;3.694068292;-8.038784364;-5.325308176;-0.811300721;9.684414993;-3.961848213;5.485362021;-3.553709946;3.045918161;1.477384461;3.121139285
ACC0263;D;-14.69102532;-8.222076566;3.206742972;-0.038267973;1.913926067;0.949035123;4.474343543;-5.305457373;0.617151187;3.207537714;2.782678395;-4.761399434;-1.089516644;3.086337083;1.513310906;0.111794763;1.632320319;-1.909696765;0.285969833
