id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16
EL75355;V;9.132631608;-17.1766321;3.884200956;-1.092056706;-21.13351744;-1.769890497;4.013470723;2.057168946;0.959788143;-6.1860956;-6.506760244;1.446627242;-2.959453206;1.144943863;7.236767613;-0.330848386;4.529280137
EL75357;D;-16.32709822;-0.506124567;-5.559615949;-0.548309805;-0.920481544;-3.572410493;-1.714383386;3.963801622;-2.346247712;-1.869638423;-2.569379344;0.989794379;0.408287826;0.171340472;2.72645822;1.188654582;0.10707103
EL75357;V;29.5058574;-21.03548155;17.72454174;0.03082101;1.717788777;-4.18298528;-4.758971188;-4.922096393;-3.119181623;1.84802264;0.276384045;-6.587842446;6.239371444;-2.031178896;-2.233011757;2.029925942;9.529299526
EL75358;D;-19.94828374;5.208119335;-1.110309224;0.201541085;-2.950384342;-2.47198531;-6.154566688;-2.315830131;-2.201182222;0.255446545;0.122697265;4.002633372;0.528494753;1.909415245;4.113478483;-0.967522211;-0.435980265
EL75358;V;-16.73905062;-0.399083777;-0.650674627;-2.752349693;-1.955432177;-4.002317261;-1.859224356;1.722700616;-1.388382414;-2.353611246;-3.05236878;4.388327922;-0.567549555;0.719022353;3.087049275;0.776333452;0.745549566
EL75359;D;-19.35380795;4.719711018;-3.676885374;1.954377324;-3.46332264;-2.545691703;-4.45771467;-0.771716137;-2.411102425;0.051690332;-0.113531491;1.697478496;0.515166588;1.581814644;4.015482546;-0.023824175;-0.407737062
EL75359;V;-8.528830964;-7.417365579;0.663361538;-13.08235528;-3.685810559;-3.401526866;7.602857296;4.476113848;-0.027726336;-5.990438182;-5.530852738;7.216518027;-4.372420708;2.149022529;3.989155565;2.745873781;2.749905968
EL75360;D;-16.17600294;-1.099645451;0.514943776;-0.489575369;-4.424432645;-4.036163823;-7.306805418;1.877082623;-2.07487204;-1.819009189;-1.30515823;4.555408984;-1.362783286;1.121596599;3.807284455;-0.189145186;-0.285859193
EL75360;V;2.424196034;-20.12384613;4.871371535;1.849095289;-7.818770607;-8.539285486;-7.739995457;4.623463422;0.498527428;-3.847217336;-6.058011563;4.192200679;-0.627952184;1.490039962;3.33480214;0.109802509;1.433654544
EL75361;D;-13.69929202;-2.714137493;4.351375882;1.182164428;-6.330972416;-4.490217888;-6.054794667;1.527014254;-0.172459689;-3.511283877;-2.713639611;3.795291585;-2.079067178;1.036080985;2.839875306;0.083345823;0.75117197
EL75361;V;9.496807541;-17.22171543;7.916346599;17.3351991;-12.33915351;-3.942959637;0.369757621;3.023638428;2.76426761;-5.050944082;-3.985529158;-0.539934771;2.041591914;3.282231588;5.007598561;-0.140643862;0.150569722
EL75362;D;4.011562021;-17.07984645;5.574057553;14.90688174;-4.488533096;-7.197832119;-5.180728824;6.192939449;1.606653373;-2.454293695;-4.977539892;-0.308030745;3.062090823;1.698481332;2.668391269;0.587455968;-0.507405874
EL75362;V;25.41618146;-13.77956032;17.38021943;23.09136105;3.044942175;-6.65577054;1.464545539;-0.02686628;-1.640163149;2.239053132;-0.400062633;-4.015766599;5.032394992;3.671819917;2.21628567;1.866153197;3.973054988
EL75364;D;-16.45585335;6.599981754;-7.666278268;-2.171423889;5.325863941;-1.443028961;-6.540744256;-0.667888831;-3.357959768;2.342761318;4.162130155;2.06953521;3.20699739;1.46007937;4.214922591;-0.564666563;-0.365080255
EL75364;V;14.02875465;-22.10625701;1.926218706;1.148430846;-1.031111422;-4.527101511;-6.855210038;1.398874978;0.944875023;-6.784804057;-0.543802291;0.523663211;1.58371553;-0.011449986;5.977715536;-1.970835067;2.154599532
EL75365;D;-15.5371034;3.756017345;-9.534614675;0.146067838;2.256082068;-2.778590209;-7.010576137;1.249521926;-3.850817867;1.492016524;3.633858897;1.031537763;2.375154464;2.039791035;5.254775106;0.176318477;-1.398818142
EL75365;V;15.34498195;-22.00915118;2.847691598;-4.379649869;-5.024396717;-6.428977927;-2.960794921;1.620092263;-0.405818956;-5.45278825;-1.403025756;-1.922615384;0.87020257;0.737765982;6.901130889;-0.256763658;2.779778643
EL75366;D;-16.95602585;3.746050709;-4.102473651;4.665828886;-4.605147688;-4.81528723;-7.728629921;-1.413685544;-2.030053971;2.749351944;-0.137881226;1.4157675;1.626845752;2.27947799;4.199474675;-0.70309548;-0.42454707
EL75366;V;8.671885344;-19.29472975;0.234129261;-20.89443258;-8.282684223;-5.613718098;11.60178285;0.633227344;1.890040474;-0.683746213;-9.757486326;6.958688505;-3.059826486;0.681817723;4.718870584;4.22938863;8.812591675
EL75368;D;-20.05406853;9.063043034;-6.0023033;-0.575551248;-0.553776114;-0.272230724;-2.502845967;-2.67098779;-2.809934613;0.219978425;2.518160951;0.630540997;0.588713178;1.460128526;4.777780772;-0.024117118;0.436952931
EL75368;V;4.198086662;-21.37159764;-9.963334618;1.855141338;-8.719433708;-2.846795388;-2.779762152;7.737256873;-0.869136423;-5.750396669;-3.798738517;0.857953352;-3.568636484;0.508314165;3.320065224;-0.77264045;-0.968073909
EL75373;D;-9.222430871;-7.259319881;15.84048268;-5.311896826;-0.993492907;-3.378798807;-6.509854191;1.244639993;1.188151411;-6.278206641;-0.729998648;9.432262617;-2.409370849;4.714637175;5.850927841;-1.260404134;-1.701933545
EL75373;V;35.60280297;7.159167551;29.16343703;17.38600794;-8.737437114;1.747168338;17.63824171;12.13436156;-15.85355153;-1.587999903;21.85100805;6.281397541;9.258917905;1.841515234;3.190482545;7.040879972;11.67459904
EL75375;D;45.41204318;22.94518505;24.48992822;21.70530074;6.272130151;-0.704307374;14.56784197;18.05341647;-32.94055405;8.980311402;18.3220019;5.246383713;-6.94553288;1.483502548;1.847874233;1.939569537;7.460012965
EL75375;V;49.49599689;32.92229292;23.80826981;17.80496904;-4.361103446;-4.428705819;23.67018082;29.78780115;-25.21286308;15.32972312;36.77473818;23.55351799;3.098489486;-6.182341463;2.296721233;3.270592188;4.556404133
EL75380;D;-14.79730176;1.801909346;14.27238332;-6.852575816;-1.212949935;-2.027522265;-4.720629197;-4.580854687;2.660963077;-5.205901512;0.182428508;11.19525917;-2.143092501;5.954931242;5.198942385;-2.769531296;-2.871821111
EL75380;V;-1.677110738;-10.97393311;24.62630881;-11.61880714;-2.759345395;-3.617468703;-2.150725119;-1.790112408;4.013541255;-6.518836845;-3.459016874;9.840665867;-3.103201889;7.212771579;8.726777357;-2.70900578;-0.860512856
EL75385;D;-13.76873085;2.973259272;19.41202753;-8.921485436;0.750661827;0.21246004;-1.463484404;-5.602809272;4.321712643;-6.601733676;1.829818434;10.0386574;-3.632987304;6.255213453;2.934970575;-3.503165064;-4.095904633
EL75385;V;8.638818354;-12.01466799;34.54698608;-9.354375754;1.753318025;-2.829225301;0.611369954;-1.928593316;3.409267648;-5.486738663;0.17897909;0.355000335;-1.408596243;8.374644495;7.281242879;-3.095266714;0.633517915
