id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17
ACC0084;D;-24.63307504;-1.018907425;12.32056682;10.0185595;9.50747401;-7.017132425;-0.059308218;-8.334642162;-10.26062711;-8.875798439;1.193709488;4.088385643;11.5987838;5.256171798;5.040814933;-4.684496463;-1.311998063;2.693642171
ACC0084;V;-23.96608626;0.675348593;12.39552925;6.368991445;6.395416294;-8.815257294;1.169744083;-7.268101019;-9.113384628;-6.139092314;2.292307698;3.760534186;8.287102079;5.041034153;3.71367456;-3.06250892;-0.796961933;1.572203046
ACC0087;D;-17.94304469;26.49243826;-5.173352519;-2.615328582;1.065011683;-6.985814838;-3.432743413;-7.456958899;-3.686998377;7.190716114;4.213637965;-0.336036486;-5.669854019;-0.409238759;-4.025038656;-3.080316618;0.675431253;-2.290060607
ACC0087;V;6.945125394;50.52871332;-36.75130051;0.217291887;4.731615232;0.323841656;-9.393123286;3.685907639;0.983869478;3.97332762;2.01656194;-8.261747723;3.132763831;7.077505677;12.18514023;3.949679999;2.321240133;2.912778879
ACC0088;D;-4.816516456;-8.330694209;-4.650093957;-5.084340658;-3.446408796;-2.462870976;1.898725309;7.140466498;5.296786417;-0.11425129;5.156621122;-0.097091899;0.440745028;-2.500367863;-1.681987239;-1.076967921;-1.530217583;0.767325102
ACC0088;V;3.321801131;-2.78097351;-21.61545373;-6.697094839;1.396482473;1.783152038;-3.887363872;13.14609596;4.89380367;1.304837236;5.189753134;2.443632236;3.075301353;-4.276040691;-5.046895551;-0.987896151;-3.505452181;2.443437061
ACC0091;D;2.018987585;-16.90620909;-5.307355975;-6.634769668;-2.871147863;-1.299832394;-10.35672633;6.589463637;9.157247234;-2.375889325;11.03656206;-2.687539626;-2.913917721;3.125282905;-1.594851753;-1.531047406;-1.118397663;0.370558166
ACC0091;V;14.15765549;-2.507495546;-29.10314056;-7.901743588;8.104112031;0.25002151;-12.01012177;17.53527797;2.987403123;-2.951184009;9.718386111;8.821276775;9.357610415;-0.733330178;-0.913525072;1.881437132;-4.128660642;2.457467259
ACC0092;D;-16.16974605;-5.377773008;6.346440839;-1.868974985;2.190716046;-1.350395776;4.044756;2.91383875;1.454763011;-2.287966719;3.069592482;-3.419974849;-1.288667131;-2.650076996;1.313449659;0.965336925;-0.355518249;0.611861816
ACC0092;V;-6.354920441;-4.542246803;2.579731593;-11.14156343;-3.498556736;4.584932434;-0.604474401;4.921337298;4.499127062;1.900761787;2.741101463;-1.893250608;-5.526086271;-4.67729502;0.429247429;-0.111714375;-0.721957899;1.646646336
ACC0095;D;-14.40765508;-1.473742813;3.574576369;-5.536395418;-0.862868092;-0.580864645;-0.955268737;4.245983755;2.356642124;1.092469134;2.970583377;-2.402237536;-3.4203164;-1.458364855;-1.353947355;3.586731322;0.105618094;-0.435379846
ACC0095;V;0.96391423;7.887806137;-18.33496505;-11.18490022;-0.954898591;2.958140363;-5.035748394;10.73655436;2.921492603;3.353702251;3.001464088;1.75599299;2.402777674;-4.167239417;-4.714378799;1.183065922;-2.369565206;2.612602199
ACC0096;D;-7.886638941;-4.749380113;-1.313851165;5.423961871;-2.064338128;-9.95290546;13.30537927;1.320944032;2.658390341;-2.977211593;5.10338892;-2.178344366;4.871133484;-1.895783437;-0.884512884;-1.202492084;-0.014778267;1.340454808
ACC0096;V;-5.43450489;-1.381055238;-0.000604658;0.075085793;-5.328125824;-9.225658841;11.45647222;4.363763883;5.483416636;0.168925838;4.365847932;-1.496211476;-0.104318426;-2.003645789;-1.49403663;1.660075134;-1.141729133;-0.859368856
ACC0098;D;14.32535523;-1.200425193;-4.873890418;-0.63063868;-12.79396263;-21.87539249;12.22548866;4.24168389;2.956616976;3.271454851;4.86162438;6.88616917;-1.202504559;5.16665866;-0.708775378;0.416551014;-6.77800572;0.733924888
ACC0098;V;18.19599426;-2.848580298;-5.622369404;0.348303117;-15.71217984;-20.71736407;11.25867956;4.99607993;2.56761793;4.496075634;3.668501374;7.594045275;-1.832914838;6.77207805;-1.459080459;1.210183951;-7.0362362;0.989161323
ACC0101;D;-16.08046928;-4.213396019;2.612349347;6.761377931;3.134715361;-5.128795806;7.549969269;3.466295371;-0.0602113;-3.352763253;2.285089791;-3.029905695;5.200600389;0.598581133;-0.572760969;3.481112765;0.115472897;0.474595459
ACC0101;V;-11.91547801;-0.690711344;1.505607834;1.139947019;-1.871818826;-6.281470585;8.026203491;5.472345208;0.866470336;0.627584337;4.42889933;-2.14528732;0.867086467;0.724982254;-2.606628261;5.224355494;-0.669534078;-0.062323389
ACC0102;D;-18.32794777;-4.049230805;6.263558871;5.759929339;2.850220392;-3.702324969;3.71153186;1.655017669;-0.175042658;-2.138278091;-0.401741687;0.371321058;3.095238795;2.256800653;1.25709763;3.395848771;-0.327749456;-1.105055668
ACC0102;V;-12.24106601;6.787664129;1.933872711;0.54069781;-4.038566596;-7.143240906;7.286202084;2.252306497;0.559085652;3.480608237;0.432317689;4.220937833;-0.873845359;0.971447356;-2.701680918;3.858289384;0.08503882;-1.645818614
ACC0112;D;-9.276797051;-7.730757209;1.830928676;2.973334262;-1.896534245;-6.468510855;9.301557754;2.980699259;4.479276507;-1.87794605;3.033016951;-3.807884397;1.77012811;-2.403289413;-0.249013832;0.202549651;0.871641423;0.811899762
ACC0112;V;-3.684588895;-4.266985043;3.03619484;-3.389830847;-7.626104725;-7.296849216;8.45614347;4.339193648;4.786004176;1.227024214;4.772375191;-2.205937261;-1.030260862;-0.627127588;-0.354727939;2.301840824;-0.607259243;0.507700885
ACC0115;D;-10.16944402;-8.78670558;7.368424345;-2.066828704;-2.505642243;-5.453956114;5.951590788;2.35123655;5.648690899;-2.307348498;4.699839028;-4.319868907;-1.594395275;-1.63978876;1.816496292;1.288768191;0.904277693;-0.538631908
ACC0115;V;-4.097147811;-11.66169963;5.427662677;-2.7809488;-6.60498818;-7.760272954;5.480029703;1.575167379;6.601369362;-0.09646797;4.413335421;-1.142113309;-1.671972196;1.215503236;2.017614383;-0.25014492;0.657773166;-1.40826865
ACC0117;D;-4.415996373;-0.326026454;8.897407348;-1.464955303;-10.80773782;-13.30292651;11.78759496;0.712156163;3.134206986;3.411363031;1.248828005;7.235642123;-0.314370211;4.131363285;2.149208173;3.637769749;-0.701918627;-1.967997127
ACC0117;V;6.807314742;11.78647386;2.914214507;-3.401335326;-15.72612552;-23.04486938;14.8429275;1.440482157;2.636580833;5.993318637;2.409252286;12.35853715;-2.427286156;6.238508312;-0.274021594;2.960566064;-5.854913183;-2.21990502
ACC0119;D;-6.447443099;-3.708022105;3.071574537;0.039839278;-6.872070141;-7.361452114;12.63603054;1.744754601;2.781044133;0.369146321;4.154005954;-0.501511503;0.385838424;-1.016961259;-0.202444321;0.6883862;0.009083166;0.469173186
ACC0119;V;0.900227262;4.916474075;5.361623854;-2.006270356;-14.50912884;-16.07680821;14.10075615;2.513204704;2.545288402;4.597799842;4.426749613;3.959931559;0.537823;4.008030273;-0.989178272;4.232619966;-1.681828755;-0.186981798
ACC0128;D;-13.19179768;-4.17052554;3.787353806;2.703589509;0.456068108;-5.646785845;8.693919499;2.488951098;1.53768164;-3.137405319;3.437966309;-3.716233337;3.167218875;-2.665180449;0.710708506;1.649178683;0.516115392;1.241563825
ACC0128;V;-8.325456235;2.127126207;-0.042910444;-3.03187119;-5.958468598;-7.302784701;7.878533319;4.131163254;3.631145064;1.705786704;3.881983986;-1.976256428;-0.195776585;-2.071216086;-2.367468289;2.783736896;-0.355759074;-0.706765961
ACC0129;D;-14.97914572;-5.85277663;5.370805502;2.563600944;1.395682471;-6.610257851;7.87443769;3.440095549;1.44040329;-4.196573984;4.975904172;-4.865226787;4.152277837;-0.8698401;1.979661031;1.754269548;0.114156078;0.956677693
