;id;view;meanb;Ant;Post
266;AP0036;D;0.15512189637737056;0.15828993274924832;0.14929464546337876
267;AP0036;V;0.19927730057344628;0.20245914628427653;0.19673997069042556
268;AP0037;D;0.13754737453163987;0.11475662037466743;0.1833956719297171
269;AP0037;V;0.1564590551177052;0.15798472370787664;0.15525172171282228
270;AP0038;D;0.26996578843745594;0.2947019801849231;0.22904692309819663
271;AP0038;V;0.40000673450331853;0.3876629959242138;0.40833644446599987
272;AP0039;D;0.25642381111889145;0.2851424534214075;0.18149836980925793
273;AP0039;V;0.12302583064568527;0.11842576003989895;0.12791317184940512
274;AP0040;D;0.11866191043744251;0.12246029727712313;0.10906616441303849
275;AP0040;V;0.15635601105483707;0.17602801586438935;0.13509434569420817
276;AP0041;D;0.066463731;0.065610745;0.067662042
277;AP0041;V;0.09720247;0.089016735;0.10212569897122652
278;AP0042;D;0.059938771897067186;0.05712669;0.063621932
279;AP0042;V;0.085851488;0.080318132;0.089261901
280;AP0043;D;0.16219919104236463;0.16674336184267682;0.15554731512895636
281;AP0043;V;0.11430126303062176;0.10924273332084748;0.11979351063250969
282;AP0044;D;0.1449970959065686;0.14123727706786962;0.15186864488504045
283;AP0044;V;0.1975162554103069;0.20798501888569115;0.18750187263178114
284;AP0045;D;0.12086897782612026;0.13676482083586938;0.088766256
285;AP0045;V;0.1728072233163463;0.23391171618261736;0.10791461172089045
286;AP0046;D;0.1443051744901291;0.13522348323635752;0.1611987914750229
287;AP0046;V;0.200060357;0.21011003106037582;0.191236253
288;AP0047;D;0.13384716611409092;0.1313913647105323;0.13824894943365787
289;AP0047;V;0.20088768962206896;0.24989668767311554;0.1567398860888128
290;AP0048;D;0.085272335;0.081757171;0.090932068
291;AP0048Dti;f;;;
292;AP0048;V;0.12524678616480872;0.15610128828891318;0.098046573
293;AP0049;D;0.067411077;0.073178499;0.058119121
294;AP0049;V;0.16996771187232407;0.2633701231888206;0.092957649
295;AP0050;D;0.1362561191070531;0.1718435222160828;0.072914249
296;AP0051;D;0.089328004;0.079983944;0.1077262724301169
297;AP0051;V;0.18757467716541992;0.17579691849914905;0.19767617550631567
298;AP0052;D;0.099744231;0.08662504;0.12783578959092914
