id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18
AC0038;D;-23.90745228;14.146097574463305;6.6695883667382745;2.588360400375997;-5.304622013;-2.277854473;-0.526014568;-9.126075036;-0.162500607;6.227239136710104;-1.863926454;3.0542481009554505;-3.129695625;-4.557175407;2.298529047680706;-3.069064841;-0.08557639;3.1529467154883735;0.5461280365250637
AC0038;V;-4.00784185;30.86999155335471;-21.9460658;1.1174962902012016;-3.088581808;1.4996158087905573;1.9949034532770489;-17.84027281;3.3176769127131114;-0.527480872;-14.49292921;2.400481759339238;-3.257256107;1.9944414813867888;3.5661618428080595;-2.412114687;5.146279481920422;-3.912286389;-2.890373214
AC0087;D;-5.994374563;25.93839190057726;-18.7971911;-3.012502565;4.627930185703654;1.7631014619531222;-8.010966863;-4.854264336;-6.24848481;-4.478303707;-14.22088577;3.9712346344866645;-3.094330709;-2.358259845;0.4730526016518397;-5.64199734;4.572512875378123;-2.769134769;-0.714365979
AC0087;V;25.21855450294922;38.63360254660978;-28.08442411;-27.01664373;-1.83414795;4.586973053609464;0.8048424903617537;18.10668630184027;9.753297076;3.029359315749011;19.89043451816362;1.6042124175288022;-13.68395633;23.10376282792002;-15.05629318;-5.439061016;-3.365155875;-0.105728106;-9.415622856
AC0402;D;31.776621324473794;-25.03033359;7.780736256430002;-14.48704451;-0.938859886;5.652234017;-13.69544594;-6.361987674;5.802360575879597;8.237944863;-12.60148184;8.946384444688217;-5.579437172;0.5381866634302948;11.782821500957905;-5.526694516;-8.531173128;-2.457134169;3.4974167637343383
ACC0002;D;-6.076505171;19.396298060753885;-17.91238936;-6.605547539;14.159372416399128;-0.180011489;-16.70387144;3.6073902045129604;-8.048304812;-6.564480834;2.5596323397604173;0.91782393;4.448752885;-3.190304663;8.418651266088203;0.15242794094033682;-2.063913565;0.8718198566362519;0.25189448380193846
ACC0002;V;13.234539187841904;10.747323464094896;-28.36186338;3.387153173720551;0.044597357564222576;-1.826128774;-0.80131318;-10.07816422;5.524218736149177;-5.539705887;8.304318725630832;-2.777883585;1.2268982393994576;14.878256986494614;11.72071492398305;4.637379194133346;-1.396291095;3.7414646954673727;3.396731577108607
ACC0005;D;-13.12652811;10.932774715942841;-11.55527584;-3.405014664;9.274579692003226;-2.340949876;-11.51470675;-1.981125313;-6.133596816;-5.098213435;2.0795863130931944;3.3969884295049315;4.370990557452011;-10.08598965;0.4961521601704569;0.133952549;-0.163029859;-0.881584942;0.5486709449006217
ACC0005;V;-1.182822453;18.11582907;-24.76679226;1.8809960015743241;6.944748269796222;-10.35510378;-8.564884244;-6.049290771;4.823744794844044;-1.428637956;6.417653472;-4.437594862;3.035464994063717;-1.996103916;7.216240230360486;-0.848003172;-5.157448796;1.3034749081537205;1.4872902814413593
ACC0006;D;-13.98041584;17.59858325844569;-11.60522852;-2.321088065;8.751095090408649;-4.278632062;-10.12078981;-4.571348765;-5.000890903;-2.053845278;-0.733452748;2.8248037509224653;3.182199883789521;-9.612571404;2.8677927083418084;-1.096129734;0.2714679423810707;-0.086245348;0.655592583
