id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17
ACC0091;V;17.09391794;-11.18649502;-23.85606609;-12.58320541;1.516675654;-1.876623644;15.61549398;6.488896917;9.982081432;6.171669248;0.761284027;4.942466387;7.730130805;4.805481695;-1.192623965;2.398651943;-2.177661167;1.727456755
ACC0092;D;-17.40666097;-2.201630699;9.027573825;-1.163087559;0.663439431;-1.103624447;-1.713585462;2.192820031;2.707849815;0.551387015;-0.237960277;-3.175451246;-2.571312391;2.729793673;2.468279963;-2.778691794;-0.006787572;-0.623804456
ACC0092;V;-6.822881891;-5.590004811;2.93749016;-11.2024852;-5.986230145;5.325864326;4.400597981;4.879595189;0.026278181;4.335058706;1.152179946;-2.683927386;-6.987492485;2.271690489;0.647303625;-3.298839803;-0.399514078;1.036675158
ACC0095;D;-11.14502491;-2.356222235;-1.362045551;-8.049821498;-4.854235975;-2.003052127;4.803689248;4.751749635;3.113035289;4.276149672;3.089868816;-4.228595725;-3.322480937;1.481456467;-2.541875755;-0.822760408;0.114100222;0.514637825
ACC0095;V;25.62197171;2.157136821;-16.93248261;-23.28605959;-5.181901407;3.887501383;9.660506693;2.244789495;1.692835745;-1.497745416;-2.440114653;9.014031458;10.30992123;9.352790607;-3.010792452;-1.115659725;-6.69025465;3.073380364
ACC0096;D;-5.629806378;-6.134391105;-4.116951684;12.22711898;0.315964985;-10.93089592;-11.67976069;4.655664145;5.24454069;4.808570055;-1.321199591;0.868849364;2.836602245;2.80007471;-3.357356139;-0.02291648;-1.276128539;-1.509136946
ACC0096;V;-4.586408835;-1.926760361;-2.713026759;8.243079122;-3.468228604;-13.17908037;-8.98345783;7.764629094;5.025535393;6.196180743;1.312876537;1.359778245;-0.977876286;0.255202454;-2.460298783;1.341770312;-0.527156766;-3.021543725
ACC0098;D;13.30687294;-4.998115923;-6.805093895;8.711742632;-8.400729326;-21.67350306;-7.029604135;8.324837143;6.021466795;7.489681347;4.246779309;8.766931956;1.602138238;-6.588863163;-3.280116724;1.844774752;3.555499199;-5.121723442
ACC0098;V;19.08337974;-7.736772483;-8.653313773;12.38546589;-8.512873592;-21.96766033;-5.243276191;8.426170609;4.91570283;7.136650725;3.658539628;10.46314786;1.705266986;-9.139916228;-2.548100277;1.883772196;4.010185904;-4.591027043
ACC0101;D;-17.12630103;-2.283297741;3.258151917;9.456992624;4.968503871;-4.035124682;-5.439918139;3.25988977;5.584857653;-0.467261604;-1.220896822;-3.480701412;4.422796893;1.903772753;1.546243101;3.004279606;-1.496356621;-0.652280905
ACC0101;V;-12.5330335;-0.362196996;1.447804714;4.945791435;-1.314952235;-7.526357821;-5.205751275;6.150227909;6.15204233;2.946321443;2.094186855;-1.613050734;0.482716149;0.047308805;-0.272481638;2.657099162;-0.59737447;-1.461995313
ACC0102;D;-19.43104598;-2.968371817;6.453369754;6.408481618;4.177780832;-3.150195178;-1.580115244;2.41952181;2.836529184;-0.321007549;-1.771212269;0.724428278;3.168584662;-0.814968317;1.837633272;0.82950411;0.047159357;-2.057438426
