id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19
EL43219;D;-15.85561262;11.44158516;-0.733110461;-0.104420202;2.627916107;12.38030735;9.506243735;-7.511580317;6.780618305;-5.803955985;0.076725922;1.412004993;-2.570432313;0.052508686;1.274618881;2.052927365;2.229154645;3.7312731;-1.399129036;-1.391155585
EL43219;V;-1.701419286;15.62959722;-18.87897376;-0.783129709;1.43997814;19.28908073;17.34299279;-11.45204547;8.371054439;-11.02098081;-3.938057689;0.152843692;-5.507749902;-0.655838514;4.699927135;-3.470006409;-1.447136741;7.538062297;2.797491374;-0.755708945
EL43224;D;-20.698022;3.652230551;11.00245726;-1.903731251;2.259373671;9.133194456;0.615312857;-4.526102046;1.988008104;1.301965577;-0.909178218;-0.852025419;2.888477537;-2.580159557;-0.327495315;2.803584247;3.391406498;1.269611444;-2.063125344;-0.639479502
EL43224;V;-13.1528548;10.12448812;-4.195042009;-5.202002613;5.841468745;19.4063724;9.191629061;-9.545273315;7.170983593;-7.777881933;-3.353529295;0.65976461;-3.506933609;-4.141677186;1.048206695;0.292539736;1.406874317;5.177848987;-0.372052378;-0.587972682
EL43226;D;-18.45585049;5.535681977;1.879749094;-4.151142984;3.582694154;8.878650644;2.134107806;-4.458128797;3.204135183;-3.3546575;-1.709034552;0.975350362;-0.924970477;-3.674375977;-2.748173223;2.237768974;1.82978089;1.739506709;-1.596428182;-1.850967854
EL43226;V;-10.89102998;8.75225852;-7.593863012;-8.256680358;8.862059711;16.76802756;10.50133912;-9.469578706;7.524019825;-9.771090809;-3.773185544;0.932449347;-3.888082597;-4.285524992;-1.083667495;-0.341974895;-1.477888259;3.818678979;-0.007100493;-0.69520291
EL43228;D;-21.65798475;3.762441214;13.503888;-1.12223032;2.063995924;4.760621061;3.285402005;-5.183940663;2.750829819;0.77897435;-0.415456073;-2.265074884;3.139455016;0.755633087;0.912100789;3.050561361;2.0226396;0.840687619;-1.683430283;-1.768775626
EL43228;V;-9.010129236;15.45392929;-9.511032316;-10.38038339;10.03007106;16.56811164;16.72931364;-7.258915144;11.25510115;-12.87001648;2.423622809;1.526067478;-6.246891773;-4.301260265;-3.280040426;1.669152776;-0.167166132;5.728215871;0.274997147;2.048302266
EL43229;D;-21.24103229;2.769498279;12.73184588;0.050832726;0.547789624;7.031189826;0.294616735;-5.818383534;1.582878681;1.680829447;-1.940195628;-1.532469072;2.96813196;-0.292354858;0.94554536;2.814389867;2.566443241;1.460616176;-1.391799544;-1.501514476
EL43229;V;-11.88608521;6.730700977;-6.863802317;-8.687623815;6.840103329;17.14246732;12.66421252;-6.847935681;4.769445785;-10.07344563;-0.558131795;0.499099972;-6.784353713;-3.987535769;-3.326605247;2.660161762;1.355132943;3.536289688;0.293467078;-0.1275135
EL43230;D;-22.53135044;6.981594304;13.50943323;-2.774664865;3.065695088;5.498204182;3.043793668;-5.3133799;4.597913603;1.545527923;2.176346869;-2.213752302;2.895956053;-0.639210705;0.955749446;4.226913714;2.697299072;0.729931625;-2.588851312;-0.119272123
EL43230;V;-10.19884097;17.81473661;-9.499554926;-7.703770291;7.384344368;18.25909011;14.28855963;-9.294902368;11.00461005;-11.40967943;0.903990155;-0.097122968;-3.131957896;-2.348726038;1.898536895;-0.653568472;-0.514070568;7.289565919;1.544596896;1.402250906
EL43239;D;-4.731795229;23.25364211;-18.84540024;3.95458549;-0.297002763;13.87757254;0.991963364;-3.649290729;3.483887842;-4.833010044;6.492199228;2.85570016;-0.331837235;-3.648009272;2.651084357;-4.100572847;5.425578512;2.413148628;-0.015078952;-1.964684443
EL43239;V;20.23073402;34.91477764;-23.02715477;14.09398118;0.100317865;10.73070077;9.931142889;-3.140007279;-10.14696895;2.461326468;6.657701175;-1.550750762;17.89901616;11.19197266;7.757588355;-3.862586606;7.392001556;2.546918094;8.242383608;-9.623869916
EL43240;D;-2.03346373;22.73396658;-21.2173222;1.441160232;2.663271068;17.4767813;5.009123264;-6.064352827;5.598575867;-9.150140564;2.740101583;1.483899793;-0.128240765;-3.878278175;3.16303688;-5.811878459;3.193698972;4.086786651;1.062765076;-1.336123603
EL43240;V;18.87965729;33.93539349;-23.90947699;11.92486692;0.960917907;13.98322501;11.32535072;-4.536905563;-6.439593939;0.79545405;3.803037187;-2.36177145;16.36153899;8.696479889;6.963330758;-3.940797697;5.643281099;2.313451342;7.8942967;-8.562240333
EL43249;D;-0.455350886;16.68225408;-25.87185292;-2.446807735;-1.933124714;11.75132788;-4.525418648;-0.767092565;-2.25888725;-7.470844274;-1.252298886;-0.438720554;-0.602168253;1.434915101;8.292462933;-0.942229121;1.010545027;-4.537375169;0.33074955;-1.297737075
EL43249;V;20.81773887;13.10796796;-21.49920162;13.37356423;-5.84846486;7.18594711;-9.357501421;-1.748049099;-6.965151611;-4.926815891;-6.453269725;-2.031003838;13.65625504;17.64227995;7.924101017;3.838987913;-1.236490901;-6.845088984;1.317610457;0.486167662
EL4370;D;-19.96574451;-2.240644892;9.335469491;1.413406285;-1.024423648;2.692058193;0.541045288;-1.548779729;0.549639152;0.213034776;-3.30732638;-1.888220917;1.495477611;-1.583855386;-0.437411984;-1.354608741;1.842944272;0.355751525;-0.830681953;-1.772407293
EL4370;V;-13.01869599;-12.20856451;3.467857162;1.862077445;-3.913906107;4.023610895;2.788573812;-0.228476952;-5.341243619;-2.758755235;-4.423390784;-2.934238615;-2.134682416;3.448473007;-0.660445914;0.221422707;2.425849221;-0.864848045;3.86931543;-1.089354985
EL72366;D;25.49756758;-1.23483485;-5.171022155;35.27265535;8.00699135;2.328018566;-12.70676817;-6.091844938;5.239807874;-14.38160766;1.055736766;-0.423105527;14.77068834;-9.863271796;-5.613022443;-3.848983524;-5.871811624;-10.11086072;-1.192906395;-3.629346933
EL72366;V;37.41353141;-0.431859863;-1.936661064;35.62574689;1.114302815;3.078184668;-2.079535805;-11.61962576;12.18674399;-8.809588164;5.761110409;-10.77229989;6.11666465;-15.19353989;-2.710589315;0.854259853;2.152311006;-14.27016798;-3.077880911;-4.770422371
EL72367;D;17.07698183;-9.166545092;-8.636344729;21.55818546;7.52964899;-0.528765314;-17.25927428;-0.514041567;3.782755787;-14.08769917;-4.321998242;6.103243321;11.9932017;-6.647301566;-3.626137234;-4.422054076;-5.247184564;-5.907433586;-1.998669916;0.047590833
EL72367;V;33.10352136;-15.1034378;-5.862927613;22.06573702;2.797629819;-2.857443887;-11.35530283;-9.314582338;15.07009273;-15.86528222;2.636664315;-3.181385686;10.29200693;-7.634770455;0.470775444;1.278525933;-0.305453759;-10.20084267;-1.653351418;1.732151515
EL72407;D;34.21073532;10.10442733;14.91725494;20.66398349;22.94009745;-3.763896001;-20.15914714;0.405519854;1.076018617;-17.09574159;1.667774858;-7.022459107;11.64773026;-13.80103287;0.782388288;-3.626592135;-16.85141049;-11.76144166;12.95886817;-1.186315227
EL72407;V;39.69636634;-8.825481413;7.349597124;0.739900235;3.565065172;-10.39311676;-13.70133104;-9.873250173;17.82580649;-14.07540706;0.07885539;-5.560583671;2.618843103;-7.497245361;10.03883213;-2.557248594;3.352429371;-11.19324011;4.857510095;-1.445552942
