id;view;meanb;Ant;Post
EL43219;D;0.108301788;0.107821148;0.108925068
EL43219;V;0.15187145;0.177294292;0.126895231
EL43224;D;0.10400035;0.100756979;0.108185318
EL43224;V;0.137625892;0.15097711;0.125436597
EL43226;D;0.120380213;0.14091927;0.095636247
EL43226;V;0.154192222;0.185428355;0.122150541
EL43228;D;0.089142355;0.085127166;0.09434959
EL43228;V;0.142538527;0.142540703;0.142536169
EL43229;D;0.093954957;0.085457448;0.105935399
EL43229;V;0.140413389;0.146083126;0.1337891
EL43230;D;0.091996803;0.093033233;0.090473123
EL43230;V;0.140429057;0.156249564;0.123176409
EL43239;D;0.140810939;0.118864535;0.172198941
EL43239;V;0.209732691;0.202182329;0.217892671
EL43240;D;0.166184552;0.169696607;0.160802058
EL43240;V;0.213190417;0.205605001;0.221411975
EL43249;D;0.175792057;0.206119733;0.139326207
EL43249;V;0.285309285;0.394733084;0.188412293
EL4370;D;0.103314872;0.095539755;0.116296875
EL4370;V;0.135679526;0.121707172;0.149944795
EL72366;D;0.258268649;0.24652747;0.271278182
EL72366;V;0.28554979;0.312022833;0.266103834
EL72367;D;0.228892915;0.223833244;0.235099877
EL72367;V;0.266328223;0.280113466;0.255780072
EL72407;D;0.334245991;0.35778408;0.304926725
EL72407;V;0.297684145;0.323324405;0.274063205
EL72418;D;0.121016088;0.109276796;0.145433339
EL72418;V;0.125175965;0.10000168;0.159959491
EL72444;D;0.06613853;0.056521753;0.088224944
EL72444;V;0.12566739;0.09055314;0.175351429
EL72446;D;0.10642341;0.109075192;0.100895781
EL72446;V;0.151701972;0.144803659;0.160386243
EL72487;D;0.08264625;0.078197131;0.088475817
EL72487;V;0.175753341;0.148540857;0.198476988
EL72488;D;0.073736767;0.064371316;0.086509465
EL72488;V;0.140469988;0.117647557;0.160102146
EL72490;D;0.071949044;0.065286634;0.080999752
EL72490;V;0.144608672;0.121451957;0.164467654
EL72509;D;0.10253962;0.095166121;0.113565927
EL72509;V;0.184598271;0.167030536;0.20144656
EL72573;D;0.104865936;0.097873678;0.11517564
EL72573;V;0.158269895;0.137201697;0.179669977
EL72575;D;0.168381982;0.159957182;0.180245644
EL72575;V;0.241098584;0.263824325;0.21860162
EL72583;D;0.150951776;0.169957085;0.122659415
EL72583;V;0.200374394;0.25980864;0.139907665
EL72586;D;0.115052503;0.121454122;0.10586343
EL72586;V;0.176353257;0.215105994;0.137814539
EL725886;V;0.176534554;0.21509994;0.138194781
EL72599;D;0.110267097;0.121993682;0.09207314
EL72599;V;0.198299518;0.245885681;0.14847918
EL72600;D;0.137349074;0.165192299;0.091612242
EL72600;V;0.200376084;0.258973544;0.139889422
EL72602;D;0.166207655;0.129148617;0.231044801
EL72602;V;0.272321477;0.231785305;0.317971488
EL72603;D;0.081409546;0.095857408;0.064817578
EL72603;V;0.118618412;0.167164808;0.075117675
EL72604;D;0.112202952;0.087969688;0.149079319
EL72604;V;0.1276592;0.130473689;0.125133549
EL72612;D;0.13643814;0.138129196;0.133567293
EL72612;V;0.151909342;0.18001482;0.125068222
EL72619;D;0.149038021;0.168421686;0.120029853
EL72619;V;0.206612452;0.265959747;0.146576187
EL72620;D;0.109679993;0.068992009;0.17032757
