;id;view;meanb;Ant;Post
515;EL75348;V;0.256937706;0.209942469;0.294518649
516;EL75353;D;0.214097183;0.182132683;0.293443282
517;EL75353;V;0.303027704;0.255050359;0.34582753
518;EL75354;D;0.122046253;0.120282708;0.127905969
519;EL75355;D;0.18130078;0.16680685;0.22106864
520;EL75355;V;0.260258902;0.249851922;0.267530477
521;EL75357;D;0.11310768;0.110668926;0.119070436
522;EL75357;V;0.247026151;0.240129164;0.253869998
523;EL75358;D;0.096295039;0.085677675;0.121165126
524;EL75358;V;0.128002854;0.127592439;0.128374258
525;EL75359;D;0.102587399;0.09454524;0.124296485
526;EL75359;V;0.166687977;0.156440153;0.176068857
527;EL75360;D;0.120835517;0.099470355;0.179480454
528;EL75360;V;0.181277746;0.145898704;0.212357995
529;EL75361;D;0.106758809;0.091512367;0.149501009
530;EL75361;V;0.192803052;0.156803609;0.221501287
531;EL75362;D;0.164103003;0.169516805;0.148570125
532;EL75362;V;0.267064339;0.237413099;0.293096641
533;EL75364;V;0.287170585;0.345061791;0.229377234
534;EL75365;D;0.132240112;0.129048087;0.14277129
535;EL75365;V;0.292944;0.353945663;0.234241964
536;EL75366;D;0.153431752;0.157948567;0.137385809
537;EL75366;V;0.246394927;0.277782757;0.215310637
538;EL75368;D;0.303346556;0.316901713;0.268529382
539;EL75368;V;0.45463318;0.498786203;0.423546616
540;EL75380;D;0.279536969;0.303227584;0.230937807
541;EL75388;D;0.303346556;0.316901713;0.268529382
542;EL75388;V;0.45463318;0.498786203;0.423546616
543;EL75390;D;0.279536969;0.303227584;0.230937807
544;EL75390;V;0.36995593;0.416799548;0.340472686
545;EL75402;D;0.198323613;0.209728412;0.174422339
546;EL75402;V;0.243671541;0.330992167;0.189753633
547;EL75424;D;0.163495365;0.130630081;0.24460272
548;EL75424;V;0.278807896;0.287329063;0.274689644
549;EL75426;D;0.176751137;0.171097917;0.191086754
550;EL75426;V;0.301143161;0.319815259;0.288950731
551;EL75428;D;0.218874922;0.193823263;0.273839507
552;EL75428;V;0.368352853;0.343386415;0.381793853
553;EL75429;D;0.186571487;0.16343244;0.243540622
554;EL75429;V;0.321057034;0.292633824;0.338144019
555;EL75430;D;0.15600761;0.143743546;0.185106545
556;EL75430;V;0.238847466;0.230667344;0.243052132
557;EL75507;D;0.117523466;0.12402231;0.106433856
558;EL75507;V;0.174439587;0.230097911;0.132225415
559;EL75508;D;0.101088514;0.091706859;0.117743348
560;EL75508;V;0.147684572;0.184527299;0.119771878
561;EL75511;D;0.124096145;0.121400795;0.128297079
562;EL75511;V;0.152342107;0.187141356;0.128550733
563;EL75513;D;0.156335473;0.171634279;0.128097232
564;EL75513;V;0.171868248;0.229990399;0.129614971
565;EL75543;D;0.233056384;0.138161209;0.407409285
566;EL75543;V;0.11756098;0.099729719;0.128355821
567;EL75560;D;0.083317253;0.074117126;0.09776105
568;EL75579;D;0.271580997;0.235844497;0.329523786
569;EL75579;V;0.105575865;0.115006636;0.100175496
570;EL75581;D;0.184695051;0.171337712;0.207029081
571;EL75581;V;0.130457754;0.131169105;0.130157822
572;EL75583;D;0.169563717;0.142215126;0.213285029
573;EL75583;V;0.078386326;0.084481909;0.074965567
574;EL75585;D;0.175174368;0.156063751;0.204940728
575;EL75585;V;0.12249248;0.139094803;0.115788044
576;EL75587;D;0.228639029;0.216857366;0.247628655
577;EL75587;V;0.211504972;0.240890008;0.198675632
578;EL75593;D;0.103725666;0.090570926;0.136465464
579;EL75593;V;0.128048468;0.134168371;0.123547724
580;EL75598;D;0.105505501;0.097290799;0.121095881
581;EL75598;V;0.179687434;0.195320969;0.169744164
582;EL75599;D;0.135703738;0.128144923;0.148259664
583;EL75599;V;0.210943523;0.249225603;0.185973125
584;EL75607;D;0.093796606;0.083202596;0.116956471
585;EL75607;V;0.136222309;0.16544469;0.11628671
586;EL75608;D;0.105782601;0.09995753;0.117555671
587;EL75608;V;0.176355321;0.211930253;0.152729743
588;EL75615;D;0.150959461;0.161616065;0.130818398
589;EL75615;V;0.198402975;0.259252926;0.161355809
590;EL75616;V;0.189981759;0.244601013;0.154408502
591;EL75617;V;0.153119988;0.160750124;0.149013463
